Province/State,,,
Country/Region,Italy,Spain,China
1/22/20,0,0,548
1/23/20,0,0,643
1/24/20,0,0,920
1/25/20,0,0,1406
1/26/20,0,0,2075
1/27/20,0,0,2877
1/28/20,0,0,5509
1/29/20,0,0,6087
1/30/20,0,0,8141
1/31/20,2,0,9802
2/1/20,2,1,11891
2/2/20,2,1,16630
2/3/20,2,1,19716
2/4/20,2,1,23707
2/5/20,2,1,27440
2/6/20,2,1,30587
2/7/20,3,1,34110
2/8/20,3,1,36814
2/9/20,3,2,39829
2/10/20,3,2,42354
2/11/20,3,2,44386
2/12/20,3,2,44759
2/13/20,3,2,59895
2/14/20,3,2,66358
2/15/20,3,2,68413
2/16/20,3,2,70513
2/17/20,3,2,72434
2/18/20,3,2,74211
2/19/20,3,2,74619
2/20/20,3,2,75077
2/21/20,20,2,75550
2/22/20,62,2,77001
2/23/20,155,2,77022
2/24/20,229,2,77241
2/25/20,322,6,77754
2/26/20,453,13,78166
2/27/20,655,15,78600
2/28/20,888,32,78928
2/29/20,1128,45,79356
3/1/20,1694,84,79932
3/2/20,2036,120,80136
3/3/20,2502,165,80261
3/4/20,3089,222,80386
3/5/20,3858,259,80537
3/6/20,4636,400,80690
3/7/20,5883,500,80770
3/8/20,7375,673,80823
3/9/20,9172,1073,80860
3/10/20,10149,1695,80887
3/11/20,12462,2277,80921
3/12/20,12462,2277,80932
3/13/20,17660,5232,80945
3/14/20,21157,6391,80977
3/15/20,24747,7798,81003
3/16/20,27980,9942,81033
3/17/20,31506,11748,81058
3/18/20,35713,13910,81102
3/19/20,41035,17963,81156
3/20/20,47021,20410,81250
3/21/20,53578,25374,81305
3/22/20,59138,28768,81435
3/23/20,63927,35136,81498
3/24/20,69176,39885,81591
3/25/20,74386,49515,81661
3/26/20,80589,57786,81782
3/27/20,86498,65719,81897
3/28/20,92472,73235,81999
3/29/20,97689,80110,82122
3/30/20,101739,87956,82198
3/31/20,105792,95923,82279
4/1/20,110574,104118,82361
4/2/20,115242,112065,82432
4/3/20,119827,119199,82511
4/4/20,124632,126168,82543
4/5/20,128948,131646,82602
4/6/20,132547,136675,82665
4/7/20,135586,141942,82718
4/8/20,139422,148220,82809
4/9/20,143626,153222,82883
4/10/20,147577,158273,82941
4/11/20,152271,163027,83014
4/12/20,156363,166831,83134
4/13/20,159516,170099,83213
4/14/20,162488,172541,83306
4/15/20,165155,177644,83356
4/16/20,168941,184948,83403
