,China,Italy,US
5/9/20,83990,218268,1309550
5/8/20,83976,217185,1283929
5/7/20,83975,215858,1257023
5/6/20,83970,214457,1229331
5/5/20,83968,213013,1204351
5/4/20,83966,211938,1180375
5/3/20,83964,210717,1158040
5/2/20,83959,209328,1132539
5/10/20,84010,219070,1329260
5/1/20,83959,207428,1103461
4/9/20,82883,143626,462780
4/8/20,82809,139422,428654
4/7/20,82718,135586,397121
4/6/20,82665,132547,366317
4/5/20,82602,128948,336802
4/4/20,82543,124632,308650
4/30/20,83956,205463,1069424
4/3/20,82511,119827,275367
4/29/20,83944,203591,1039909
4/28/20,83940,201505,1012582
4/27/20,83918,199414,988197
4/26/20,83912,197675,965785
4/25/20,83909,195351,938154
4/24/20,83899,192994,905358
4/23/20,83884,189973,869170
4/22/20,83868,187327,840351
4/21/20,83853,183957,811865
4/20/20,83817,181228,784326
4/2/20,82432,115242,243622
4/19/20,83805,178972,758809
4/18/20,83787,175925,732197
4/17/20,83760,172434,699706
4/16/20,83403,168941,667592
4/15/20,83356,165155,636350
4/14/20,83306,162488,607670
4/13/20,83213,159516,580619
4/12/20,83134,156363,555313
4/11/20,83014,152271,526396
4/10/20,82941,147577,496535
4/1/20,82361,110574,213242
3/9/20,80860,9172,583
3/8/20,80823,7375,518
3/7/20,80770,5883,402
3/6/20,80690,4636,262
3/5/20,80537,3858,217
3/4/20,80386,3089,149
3/31/20,82279,105792,188172
3/30/20,82198,101739,161831
3/3/20,80261,2502,118
3/29/20,82122,97689,140909
3/28/20,81999,92472,121465
3/27/20,81897,86498,101657
3/26/20,81782,80589,83836
3/25/20,81661,74386,65778
3/24/20,81591,69176,53736
3/23/20,81498,63927,43843
3/22/20,81435,59138,33276
3/21/20,81305,53578,25600
3/20/20,81250,47021,19273
3/2/20,80136,2036,98
3/19/20,81156,41035,13747
3/18/20,81102,35713,7783
3/17/20,81058,31506,6421
3/16/20,81033,27980,4632
3/15/20,81003,24747,3499
3/14/20,80977,21157,2727
3/13/20,80945,17660,2179
3/12/20,80932,12462,1663
3/11/20,80921,12462,1281
3/10/20,80887,10149,959
3/1/20,79932,1694,74
2/9/20,39829,3,11
2/8/20,36814,3,11
2/7/20,34110,3,11
2/6/20,30587,2,11
2/5/20,27440,2,11
2/4/20,23707,2,11
2/3/20,19716,2,11
2/29/20,79356,1128,68
2/28/20,78928,888,60
2/27/20,78600,655,58
2/26/20,78166,453,57
2/25/20,77754,322,51
2/24/20,77241,229,51
2/23/20,77022,155,15
2/22/20,77001,62,15
2/21/20,75550,20,15
2/20/20,75077,3,13
2/2/20,16630,2,8
2/19/20,74619,3,13
2/18/20,74211,3,13
2/17/20,72434,3,13
2/16/20,70513,3,13
2/15/20,68413,3,13
2/14/20,66358,3,13
2/13/20,59895,3,13
2/12/20,44759,3,12
2/11/20,44386,3,12
2/10/20,42354,3,11
2/1/20,11891,2,8
1/31/20,9802,2,7
1/30/20,8141,0,5
1/29/20,6087,0,5
1/28/20,5509,0,5
1/27/20,2877,0,5
1/26/20,2075,0,5
1/25/20,1406,0,2
1/24/20,920,0,2
1/23/20,643,0,1
1/22/20,548,0,1
