date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-07-05,ME,125,0.93,0.92,0.70,1.10,18.76,22.71,14.21,18.00,1987.00,1987.00,18.00,2.00
2020-07-05,NH,129,0.92,0.91,0.71,1.10,15.84,18.37,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,VT,130,1.05,1.03,0.78,1.28,4.08,3.48,6.35,11.00,627.00,627.00,11.00,0.00
2020-07-05,MA,124,0.95,0.93,0.75,1.15,139.71,160.95,179.41,136.00,5918.00,5918.00,136.00,11.00
2020-07-05,RI,134,0.95,0.93,0.75,1.13,30.81,34.43,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,CT,129,0.75,0.72,0.56,0.94,10.30,19.96,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,NY,132,1.06,1.04,0.79,1.24,280.26,241.11,185.76,533.00,63415.00,63415.00,533.00,8.00
2020-07-05,NJ,130,1.00,0.97,0.80,1.22,104.50,104.09,110.31,369.00,26092.00,26092.00,369.00,22.00
2020-07-05,PA,130,1.13,1.12,0.93,1.37,446.98,348.38,327.71,479.00,9877.00,9877.00,479.00,4.00
2020-07-05,DE,126,1.14,1.12,0.90,1.36,66.14,50.05,38.35,132.00,3248.00,3248.00,132.00,0.00
2020-07-05,MD,131,0.97,0.96,0.75,1.16,182.05,197.96,197.45,291.00,6620.00,6620.00,291.00,7.00
2020-07-05,VA,129,1.02,1.00,0.76,1.20,315.51,313.52,421.76,639.00,10092.00,10126.00,639.00,4.00
2020-07-05,DC,129,0.86,0.85,0.66,1.05,11.12,15.94,25.42,35.00,1439.00,1439.00,35.00,2.00
2020-07-05,NC,131,1.00,0.98,0.77,1.20,672.91,722.47,707.26,1329.00,18542.00,18542.00,1329.00,1.00
2020-07-05,SC,130,1.08,1.07,0.83,1.28,869.68,873.42,674.69,1461.00,10116.00,10116.00,1461.00,7.00
2020-07-05,GA,130,1.10,1.09,0.82,1.33,1290.47,1131.47,715.24,2197.00,22826.00,22826.00,2197.00,3.00
2020-07-05,FL,132,1.23,1.21,0.99,1.48,6493.84,5407.32,4393.51,10059.00,53538.00,53702.00,10059.00,29.00
2020-07-05,KY,130,0.97,0.96,0.73,1.19,132.72,148.64,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,WV,119,1.26,1.24,0.94,1.47,59.68,39.55,48.89,121.00,3392.00,3392.00,121.00,0.00
2020-07-05,OH,128,1.11,1.09,0.83,1.31,456.69,372.27,326.90,968.00,20392.00,20392.00,968.00,4.00
2020-07-05,IN,129,1.15,1.14,0.88,1.37,293.08,218.01,232.77,576.00,9434.00,9434.00,576.00,6.00
2020-07-05,MI,135,1.18,1.16,0.95,1.42,201.27,136.69,110.88,360.00,16665.00,16665.00,360.00,0.00
2020-07-05,AL,124,1.07,1.05,0.82,1.24,653.79,642.35,593.47,1091.00,7798.00,7798.00,1091.00,0.00
2020-07-05,TN,129,1.07,1.07,0.82,1.25,830.17,808.57,678.14,1291.00,17562.00,17562.00,1291.00,9.00
2020-07-05,IL,132,0.99,0.98,0.76,1.17,273.73,282.89,275.77,639.00,27235.00,27235.00,639.00,6.00
2020-07-05,WI,127,1.38,1.35,1.10,1.62,648.56,358.58,471.65,533.00,5007.00,5007.00,533.00,0.00
2020-07-05,MN,130,1.03,1.01,0.77,1.24,185.81,173.63,100.11,512.00,28843.00,28843.00,512.00,5.00
2020-07-05,MS,125,1.12,1.11,0.88,1.36,562.30,500.55,400.56,226.00,226.00,226.00,226.00,4.00
2020-07-05,IA,128,1.12,1.10,0.87,1.35,273.08,223.20,251.68,312.00,3461.00,3461.00,312.00,0.00
2020-07-05,MO,129,1.07,1.06,0.82,1.30,250.74,224.47,102.65,221.00,7248.00,7248.00,221.00,1.00
2020-07-05,AR,125,1.00,0.99,0.76,1.18,303.86,341.10,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,LA,128,1.17,1.15,0.90,1.38,952.66,731.56,801.29,1937.00,18312.00,18312.00,1937.00,10.00
2020-07-05,ND,125,1.07,1.05,0.82,1.27,37.09,33.78,29.45,37.00,1200.00,1200.00,37.00,0.00
2020-07-05,SD,126,1.14,1.12,0.91,1.36,71.42,56.97,61.95,35.00,173.00,173.00,35.00,0.00
2020-07-05,NE,130,1.05,1.04,0.84,1.29,119.11,112.30,128.71,167.00,2340.00,2340.00,167.00,0.00
2020-07-05,KS,129,1.17,1.15,0.85,1.40,237.39,174.01,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,OK,127,1.27,1.25,0.96,1.52,599.76,473.30,468.78,283.00,283.00,283.00,283.00,0.00
2020-07-05,TX,131,1.09,1.07,0.80,1.29,3605.62,3397.79,1163.30,3449.00,61648.00,61648.00,3449.00,29.00
