State,Cases,Active Cases,Cases reported today,Deaths Today,Overall Deaths,Tests,Tests Per One Million
California,"608,086","352,701","5,402",53,"11,049","9,556,598","241,864"
Florida,"563,285","500,839","6,148",224,"9,141","4,167,081","194,019"
Texas,"540,221","154,958",0,0,"9,503","4,611,777","159,049"
New York,"453,960","70,540",628,6,"32,893","6,901,836","354,785"
Georgia,"231,895","189,376","3,227",35,"4,573","2,219,528","209,046"
Illinois,"204,023","49,867","2,296",27,"7,932","3,285,348","259,264"
New Jersey,"192,147","20,763",279,0,"15,969","2,429,841","273,563"
Arizona,"191,721","160,562",927,40,"4,423","1,314,812","180,638"
North Carolina,"142,170","22,880",452,0,"2,321","1,877,402","179,003"
Louisiana,"136,737","28,792","1,298",30,"4,433","1,637,012","352,137"
Tennessee,"130,458","37,809","1,947",13,"1,326","1,809,900","265,025"
Pennsylvania,"127,361","24,591",411,19,"7,516","1,407,604","109,952"
Massachusetts,"122,728","13,432",305,20,"8,810","1,610,399","233,645"
Ohio,"106,577","17,883","1,118",28,"3,790","1,773,797","151,748"
Alabama,"106,257","62,840",700,4,"1,894","798,501","162,854"
South Carolina,"104,841","59,907",932,18,"2,204","912,936","177,313"
Virginia,"104,838","89,079","1,216",7,"2,370","1,429,216","167,443"
Michigan,"100,724","30,522",868,11,"6,566","2,524,305","252,763"
Maryland,"98,875","89,258",715,11,"3,631","1,557,609","257,640"
Indiana,"78,632","18,310","1,067",8,"3,113","1,130,112","167,866"
Mississippi,"70,930","19,051",944,32,"2,043","527,203","177,143"
Washington,"67,287","42,739",0,0,"1,738","1,010,191","132,660"
Missouri,"66,077","54,637","1,427",11,"1,443","888,650","144,792"
Wisconsin,"64,227","9,021","1,021",7,"1,025","1,108,840","190,443"
Minnesota,"63,723","5,325",730,8,"1,739","1,219,816","216,294"
Nevada,"59,749","32,693","1,099",15,"1,045","735,891","238,914"
Arkansas,"52,392","7,203",626,5,587,"583,480","193,346"
Colorado,"52,219","30,247",0,0,"1,882","609,824","105,895"
Iowa,"50,934","10,099",564,5,965,"543,483","172,257"
Connecticut,"50,897","16,429",115,3,"4,453","935,680","262,442"
Oklahoma,"46,897","6,971",794,6,644,"751,437","189,902"
Utah,"45,976","9,799",552,7,360,"716,883","223,610"
Kentucky,"37,686","27,925",0,0,796,"730,362","163,477"
Kansas,"34,177","12,709","1,192",4,405,"343,043","117,750"
Nebraska,"29,660","7,837",0,0,360,"314,516","162,590"
Idaho,"26,631","16,291",0,0,251,"216,473","121,133"
New Mexico,"22,987","12,310",0,0,697,"650,491","310,226"
Oregon,"22,300","17,635",0,0,383,"466,104","110,510"
Rhode Island,"20,335","17,371",95,2,"1,021","419,473","395,968"
Delaware,"16,340","7,134",373,0,593,"206,475","212,038"
District Of Columbia,"13,118","2,108",94,0,594,"236,305","334,829"
South Dakota,"10,024","1,101",127,2,150,"126,014","142,444"
North Dakota,"8,322","1,135",151,1,121,"176,603","231,744"
West Virginia,"8,274","1,973",123,4,157,"344,530","192,244"
New Hampshire,"6,921",309,0,0,422,"209,967","154,420"
Montana,"5,541","1,449",134,0,81,"199,861","187,000"
Hawaii,"4,312","2,556",0,0,40,"194,351","137,266"
Maine,"4,115",385,26,0,126,"213,811","159,060"
Alaska,"4,073","2,702",110,0,27,"295,929","404,526"
Wyoming,"3,119",488,0,0,30,"86,974","150,277"
Vermont,"1,501",122,17,0,58,"107,417","172,146"
Guam,502,154,25,0,5,"26,822",0
Northern Mariana Islands,50,29,1,0,2,"14,419",0
Puerto Rico,"25,128","22,544",682,11,317,"464,073","137,018"
United States Virgin Islands,704,193,22,0,9,"12,018",0
US Military,"47,513","23,199","1,181",1,74,0,0
Veteran Affairs,"45,721","4,191",238,12,"2,411","494,766",0
Federal Prisons,"12,665","1,866",44,1,114,"42,781",0
Navajo Nation,"9,394","5,785",0,0,478,"82,541",0
Grand Princess Ship,103,100,0,0,3,0,0
Wuhan Repatriated,3,3,0,0,0,3,0
Diamond Princess Ship,46,46,0,0,0,46,0
