Date,New Cases,7-Day Moving Avg,Rate per 100000,Total Cases
Jul 29 2020,22,22,291,3888
Jul 28 2020,28,21,289,3866
Jul 27 2020,6,18,287,3838
Jul 26 2020,18,17,286,3832
Jul 25 2020,57,24,285,3814
Jul 24 2020,0,16,281,3757
Jul 23 2020,21,17,281,3758
Jul 22 2020,15,20,279,3737
Jul 21 2020,11,21,278,3722
Jul 20 2020,0,21,277,3711
Jul 19 2020,65,22,277,3711
Jul 18 2020,2,15,272,3646
Jul 17 2020,8,21,272,3644
Jul 16 2020,38,20,272,3636
Jul 15 2020,20,16,269,3598
Jul 14 2020,12,17,267,3578
Jul 13 2020,8,18,266,3566
Jul 12 2020,19,19,266,3558
Jul 11 2020,40,20,264,3539
Jul 10 2020,0,15,261,3499
Jul 9 2020,13,24,261,3499
Jul 8 2020,26,23,261,3486
Jul 7 2020,20,24,259,3460
Jul 6 2020,17,27,257,3440
Jul 5 2020,26,29,256,3423
Jul 4 2020,0,29,254,3397
Jul 3 2020,69,42,254,3397
Jul 2 2020,0,37,249,3328
Jul 1 2020,34,37,249,3328
Jun 30 2020,42,43,246,3294
Jun 29 2020,31,40,243,3252
Jun 28 2020,30,38,241,3221
Jun 27 2020,89,36,238,3191
Jun 26 2020,32,24,232,3102
Jun 25 2020,0,28,229,3070
Jun 24 2020,77,34,230,3071
Jun 23 2020,23,25,224,2994
Jun 22 2020,14,22,222,2971
Jun 21 2020,19,21,221,2957
Jun 20 2020,0,26,220,2938
Jun 19 2020,60,31,220,2938
Jun 18 2020,42,30,215,2878
Jun 17 2020,17,24,212,2836
Jun 16 2020,0,30,211,2819
Jun 15 2020,9,33,211,2819
Jun 14 2020,53,34,210,2810
Jun 13 2020,36,27,206,2757
Jun 12 2020,54,34,203,2721
Jun 11 2020,0,32,199,2667
Jun 10 2020,61,36,199,2667
Jun 9 2020,18,27,195,2606
Jun 8 2020,18,30,193,2588
Jun 7 2020,0,32,192,2570
Jun 6 2020,88,35,192,2570
Jun 5 2020,36,29,185,2482
Jun 4 2020,28,31,183,2446
Jun 3 2020,0,33,181,2418
Jun 2 2020,41,44,181,2418
Jun 1 2020,28,38,178,2377
May 31 2020,24,39,176,2349
May 30 2020,43,45,174,2325
May 29 2020,56,48,171,2282
May 28 2020,37,40,166,2226
May 27 2020,80,45,164,2189
May 26 2020,0,41,158,2109
May 25 2020,35,53,158,2109
May 24 2020,61,52,155,2074
May 23 2020,65,47,150,2013
May 22 2020,0,43,146,1948
May 21 2020,71,49,146,1948
May 20 2020,58,52,140,1877
May 19 2020,78,43,136,1819
May 18 2020,28,40,130,1741
May 17 2020,26,37,128,1713
May 16 2020,39,36,126,1687
May 15 2020,45,39,123,1648
May 14 2020,88,33,120,1603
May 13 2020,0,37,113,1515
May 12 2020,53,37,113,1515
May 11 2020,5,34,109,1462
May 10 2020,23,36,109,1457
