New Case Trends - Maine
Date generated: Thu Jul 30 2020 21:44:31 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,22, 22
Jul 28 2020,28, 21
Jul 27 2020,6, 18
Jul 26 2020,18, 17
Jul 25 2020,57, 24
Jul 24 2020,0, 16
Jul 23 2020,21, 17
Jul 22 2020,15, 20
Jul 21 2020,11, 21
Jul 20 2020,0, 21
Jul 19 2020,65, 22
Jul 18 2020,2, 15
Jul 17 2020,8, 21
Jul 16 2020,38, 20
Jul 15 2020,20, 16
Jul 14 2020,12, 17
Jul 13 2020,8, 18
Jul 12 2020,19, 19
Jul 11 2020,40, 20
Jul 10 2020,0, 15
Jul 9 2020,13, 24
Jul 8 2020,26, 23
Jul 7 2020,20, 24
Jul 6 2020,17, 27
Jul 5 2020,26, 29
Jul 4 2020,0, 29
Jul 3 2020,69, 42
Jul 2 2020,0, 37
Jul 1 2020,34, 37
Jun 30 2020,42, 43
Jun 29 2020,31, 40
Jun 28 2020,30, 38
Jun 27 2020,89, 36
Jun 26 2020,32, 24
Jun 25 2020,0, 28
Jun 24 2020,77, 34
Jun 23 2020,23, 25
Jun 22 2020,14, 22
Jun 21 2020,19, 21
Jun 20 2020,0, 26
Jun 19 2020,60, 31
Jun 18 2020,42, 30
Jun 17 2020,17, 24
Jun 16 2020,0, 30
Jun 15 2020,9, 33
Jun 14 2020,53, 34
Jun 13 2020,36, 27
Jun 12 2020,54, 34
Jun 11 2020,0, 32
Jun 10 2020,61, 36
Jun 9 2020,18, 27
Jun 8 2020,18, 30
Jun 7 2020,0, 32
Jun 6 2020,88, 35
Jun 5 2020,36, 29
Jun 4 2020,28, 31
Jun 3 2020,0, 33
Jun 2 2020,41, 44
Jun 1 2020,28, 38
May 31 2020,24, 39
May 30 2020,43, 45
May 29 2020,56, 48
May 28 2020,37, 40
May 27 2020,80, 45
May 26 2020,0, 41
May 25 2020,35, 53
May 24 2020,61, 52
May 23 2020,65, 47
May 22 2020,0, 43
May 21 2020,71, 49
May 20 2020,58, 52
May 19 2020,78, 43
May 18 2020,28, 40
May 17 2020,26, 37
May 16 2020,39, 36
May 15 2020,45, 39
May 14 2020,88, 33
May 13 2020,0, 37
May 12 2020,53, 37
May 11 2020,5, 34
May 10 2020,23, 36
May 9 2020,60, 40
May 8 2020,0, 36
May 7 2020,120, 36
May 6 2020,0, 23
May 5 2020,28, 28
May 4 2020,21, 27
May 3 2020,53, 26
May 2 2020,29, 23
May 1 2020,0, 23
Apr 30 2020,28, 27
Apr 29 2020,39, 27
Apr 28 2020,16, 24
Apr 27 2020,17, 24
Apr 26 2020,33, 22
Apr 25 2020,25, 20
Apr 24 2020,28, 20
Apr 23 2020,30, 20
Apr 22 2020,19, 20
Apr 21 2020,13, 22
Apr 20 2020,8, 25
Apr 19 2020,20, 33
Apr 18 2020,20, 33
Apr 17 2020,31, 35
Apr 16 2020,26, 34
Apr 15 2020,36, 33
Apr 14 2020,36, 31
Apr 13 2020,65, 28
Apr 12 2020,17, 23
Apr 11 2020,33, 23
Apr 10 2020,23, 22
Apr 9 2020,23, 26
Apr 8 2020,18, 28
Apr 7 2020,20, 31
Apr 6 2020,29, 28
Apr 5 2020,14, 31
Apr 4 2020,24, 35
Apr 3 2020,56, 38
Apr 2 2020,32, 32
Apr 1 2020,41, 28
Mar 31 2020,0, 26
Mar 30 2020,50, 28
Mar 29 2020,42, 23
Mar 28 2020,43, 20
Mar 27 2020,13, 16
Mar 26 2020,8, 15
Mar 25 2020,29, 15
Mar 24 2020,9, 12
Mar 23 2020,16, 13
Mar 22 2020,23, 11
Mar 21 2020,14, 9
Mar 20 2020,4, 8
Mar 19 2020,8, 7
Mar 18 2020,12, 6
Mar 17 2020,13, 5
Mar 16 2020,5, 3
Mar 15 2020,9, 2
Mar 14 2020,4, 1
Mar 13 2020,0, 0
Mar 12 2020,1, 0
Mar 11 2020,0, 0
Mar 10 2020,0, 0
Mar 9 2020,0, 0
Mar 8 2020,0, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
