Rate per 100000 Trends - Maine
Date generated: Thu Jul 30 2020 21:44:47 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,291, 
Jul 28 2020,289, 
Jul 27 2020,287, 
Jul 26 2020,286, 
Jul 25 2020,285, 
Jul 24 2020,281, 
Jul 23 2020,281, 
Jul 22 2020,279, 
Jul 21 2020,278, 
Jul 20 2020,277, 
Jul 19 2020,277, 
Jul 18 2020,272, 
Jul 17 2020,272, 
Jul 16 2020,272, 
Jul 15 2020,269, 
Jul 14 2020,267, 
Jul 13 2020,266, 
Jul 12 2020,266, 
Jul 11 2020,264, 
Jul 10 2020,261, 
Jul 9 2020,261, 
Jul 8 2020,261, 
Jul 7 2020,259, 
Jul 6 2020,257, 
Jul 5 2020,256, 
Jul 4 2020,254, 
Jul 3 2020,254, 
Jul 2 2020,249, 
Jul 1 2020,249, 
Jun 30 2020,246, 
Jun 29 2020,243, 
Jun 28 2020,241, 
Jun 27 2020,238, 
Jun 26 2020,232, 
Jun 25 2020,229, 
Jun 24 2020,230, 
Jun 23 2020,224, 
Jun 22 2020,222, 
Jun 21 2020,221, 
Jun 20 2020,220, 
Jun 19 2020,220, 
Jun 18 2020,215, 
Jun 17 2020,212, 
Jun 16 2020,211, 
Jun 15 2020,211, 
Jun 14 2020,210, 
Jun 13 2020,206, 
Jun 12 2020,203, 
Jun 11 2020,199, 
Jun 10 2020,199, 
Jun 9 2020,195, 
Jun 8 2020,193, 
Jun 7 2020,192, 
Jun 6 2020,192, 
Jun 5 2020,185, 
Jun 4 2020,183, 
Jun 3 2020,181, 
Jun 2 2020,181, 
Jun 1 2020,178, 
May 31 2020,176, 
May 30 2020,174, 
May 29 2020,171, 
May 28 2020,166, 
May 27 2020,164, 
May 26 2020,158, 
May 25 2020,158, 
May 24 2020,155, 
May 23 2020,150, 
May 22 2020,146, 
May 21 2020,146, 
May 20 2020,140, 
May 19 2020,136, 
May 18 2020,130, 
May 17 2020,128, 
May 16 2020,126, 
May 15 2020,123, 
May 14 2020,120, 
May 13 2020,113, 
May 12 2020,113, 
May 11 2020,109, 
May 10 2020,109, 
May 9 2020,107, 
May 8 2020,103, 
May 7 2020,103, 
May 6 2020,94, 
May 5 2020,94, 
May 4 2020,92, 
May 3 2020,90, 
May 2 2020,86, 
May 1 2020,84, 
Apr 30 2020,84, 
Apr 29 2020,82, 
Apr 28 2020,79, 
Apr 27 2020,78, 
Apr 26 2020,76, 
Apr 25 2020,74, 
Apr 24 2020,72, 
Apr 23 2020,70, 
Apr 22 2020,68, 
Apr 21 2020,66, 
Apr 20 2020,65, 
Apr 19 2020,65, 
Apr 18 2020,63, 
Apr 17 2020,62, 
Apr 16 2020,60, 
Apr 15 2020,58, 
Apr 14 2020,55, 
Apr 13 2020,52, 
Apr 12 2020,47, 
Apr 11 2020,46, 
Apr 10 2020,44, 
Apr 9 2020,42, 
Apr 8 2020,40, 
Apr 7 2020,39, 
Apr 6 2020,37, 
Apr 5 2020,35, 
Apr 4 2020,34, 
Apr 3 2020,32, 
Apr 2 2020,28, 
Apr 1 2020,26, 
Mar 31 2020,23, 
Mar 30 2020,23, 
Mar 29 2020,19, 
Mar 28 2020,16, 
Mar 27 2020,13, 
Mar 26 2020,12, 
Mar 25 2020,11, 
Mar 24 2020,9, 
Mar 23 2020,8, 
Mar 22 2020,7, 
Mar 21 2020,5, 
Mar 20 2020,4, 
Mar 19 2020,4, 
Mar 18 2020,3, 
Mar 17 2020,2, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,0, 
Mar 13 2020,0, 
Mar 12 2020,0, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
