Total Cases Trends - Maine
Date generated: Thu Jul 30 2020 21:44:42 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,3888, 
Jul 28 2020,3866, 
Jul 27 2020,3838, 
Jul 26 2020,3832, 
Jul 25 2020,3814, 
Jul 24 2020,3757, 
Jul 23 2020,3758, 
Jul 22 2020,3737, 
Jul 21 2020,3722, 
Jul 20 2020,3711, 
Jul 19 2020,3711, 
Jul 18 2020,3646, 
Jul 17 2020,3644, 
Jul 16 2020,3636, 
Jul 15 2020,3598, 
Jul 14 2020,3578, 
Jul 13 2020,3566, 
Jul 12 2020,3558, 
Jul 11 2020,3539, 
Jul 10 2020,3499, 
Jul 9 2020,3499, 
Jul 8 2020,3486, 
Jul 7 2020,3460, 
Jul 6 2020,3440, 
Jul 5 2020,3423, 
Jul 4 2020,3397, 
Jul 3 2020,3397, 
Jul 2 2020,3328, 
Jul 1 2020,3328, 
Jun 30 2020,3294, 
Jun 29 2020,3252, 
Jun 28 2020,3221, 
Jun 27 2020,3191, 
Jun 26 2020,3102, 
Jun 25 2020,3070, 
Jun 24 2020,3071, 
Jun 23 2020,2994, 
Jun 22 2020,2971, 
Jun 21 2020,2957, 
Jun 20 2020,2938, 
Jun 19 2020,2938, 
Jun 18 2020,2878, 
Jun 17 2020,2836, 
Jun 16 2020,2819, 
Jun 15 2020,2819, 
Jun 14 2020,2810, 
Jun 13 2020,2757, 
Jun 12 2020,2721, 
Jun 11 2020,2667, 
Jun 10 2020,2667, 
Jun 9 2020,2606, 
Jun 8 2020,2588, 
Jun 7 2020,2570, 
Jun 6 2020,2570, 
Jun 5 2020,2482, 
Jun 4 2020,2446, 
Jun 3 2020,2418, 
Jun 2 2020,2418, 
Jun 1 2020,2377, 
May 31 2020,2349, 
May 30 2020,2325, 
May 29 2020,2282, 
May 28 2020,2226, 
May 27 2020,2189, 
May 26 2020,2109, 
May 25 2020,2109, 
May 24 2020,2074, 
May 23 2020,2013, 
May 22 2020,1948, 
May 21 2020,1948, 
May 20 2020,1877, 
May 19 2020,1819, 
May 18 2020,1741, 
May 17 2020,1713, 
May 16 2020,1687, 
May 15 2020,1648, 
May 14 2020,1603, 
May 13 2020,1515, 
May 12 2020,1515, 
May 11 2020,1462, 
May 10 2020,1457, 
May 9 2020,1434, 
May 8 2020,1374, 
May 7 2020,1374, 
May 6 2020,1254, 
May 5 2020,1254, 
May 4 2020,1226, 
May 3 2020,1205, 
May 2 2020,1152, 
May 1 2020,1123, 
Apr 30 2020,1123, 
Apr 29 2020,1095, 
Apr 28 2020,1056, 
Apr 27 2020,1040, 
Apr 26 2020,1023, 
Apr 25 2020,990, 
Apr 24 2020,965, 
Apr 23 2020,937, 
Apr 22 2020,907, 
Apr 21 2020,888, 
Apr 20 2020,875, 
Apr 19 2020,867, 
Apr 18 2020,847, 
Apr 17 2020,827, 
Apr 16 2020,796, 
Apr 15 2020,770, 
Apr 14 2020,734, 
Apr 13 2020,698, 
Apr 12 2020,633, 
Apr 11 2020,616, 
Apr 10 2020,583, 
Apr 9 2020,560, 
Apr 8 2020,537, 
Apr 7 2020,519, 
Apr 6 2020,499, 
Apr 5 2020,470, 
Apr 4 2020,456, 
Apr 3 2020,432, 
Apr 2 2020,376, 
Apr 1 2020,344, 
Mar 31 2020,303, 
Mar 30 2020,303, 
Mar 29 2020,253, 
Mar 28 2020,211, 
Mar 27 2020,168, 
Mar 26 2020,155, 
Mar 25 2020,147, 
Mar 24 2020,118, 
Mar 23 2020,109, 
Mar 22 2020,93, 
Mar 21 2020,70, 
Mar 20 2020,56, 
Mar 19 2020,52, 
Mar 18 2020,44, 
Mar 17 2020,32, 
Mar 16 2020,19, 
Mar 15 2020,14, 
Mar 14 2020,5, 
Mar 13 2020,1, 
Mar 12 2020,1, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
