Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,113,124,3780,356
Jul 28 2020,286,136,3667,345
Jul 27 2020,0,109,3381,318
Jul 26 2020,39,121,3381,318
Jul 25 2020,95,124,3342,315
Jul 24 2020,210,126,3247,306
Jul 23 2020,128,99,3037,286
Jul 22 2020,197,99,2909,274
Jul 21 2020,91,109,2712,255
Jul 20 2020,88,111,2621,247
Jul 19 2020,62,99,2533,238
Jul 18 2020,105,113,2471,233
Jul 17 2020,24,110,2366,223
Jul 16 2020,124,110,2342,221
Jul 15 2020,266,107,2218,209
Jul 14 2020,109,83,1952,184
Jul 13 2020,2,85,1843,174
Jul 12 2020,164,85,1841,173
Jul 11 2020,84,73,1677,158
Jul 10 2020,24,66,1593,150
Jul 9 2020,103,64,1569,148
Jul 8 2020,95,55,1466,138
Jul 7 2020,122,50,1371,129
Jul 6 2020,0,40,1249,118
Jul 5 2020,82,47,1249,118
Jul 4 2020,39,45,1167,110
Jul 3 2020,5,39,1128,106
Jul 2 2020,40,42,1123,106
Jul 1 2020,65,40,1083,102
Jun 30 2020,51,36,1018,96
Jun 29 2020,48,33,967,91
Jun 28 2020,67,29,919,87
Jun 27 2020,0,19,852,80
Jun 26 2020,23,22,852,80
Jun 25 2020,26,23,829,78
Jun 24 2020,37,25,803,76
Jun 23 2020,32,19,766,72
Jun 22 2020,17,17,734,69
Jun 21 2020,1,15,717,68
Jun 20 2020,18,18,716,67
Jun 19 2020,32,16,698,66
Jun 18 2020,36,13,666,63
Jun 17 2020,0,10,630,59
Jun 16 2020,18,11,630,59
Jun 15 2020,3,9,612,58
Jun 14 2020,21,9,609,57
Jun 13 2020,0,7,588,55
Jun 12 2020,15,7,588,55
Jun 11 2020,12,5,573,54
Jun 10 2020,7,3,561,53
Jun 9 2020,6,4,554,52
Jun 8 2020,0,4,548,52
Jun 7 2020,8,5,548,52
Jun 6 2020,0,5,540,51
Jun 5 2020,1,5,540,51
Jun 4 2020,0,7,539,51
Jun 3 2020,14,8,539,51
Jun 2 2020,2,7,525,49
Jun 1 2020,8,6,523,49
May 31 2020,10,5,515,49
May 30 2020,0,4,505,48
May 29 2020,12,4,505,48
May 28 2020,8,2,493,46
May 27 2020,6,1,485,46
May 26 2020,0,0,479,45
May 25 2020,0,1,479,45
May 24 2020,0,1,479,45
May 23 2020,0,2,479,45
May 22 2020,0,2,479,45
May 21 2020,1,2,479,45
May 20 2020,0,2,478,45
May 19 2020,8,3,478,45
May 18 2020,0,2,470,44
May 17 2020,2,2,470,44
May 16 2020,2,1,468,44
May 15 2020,0,1,466,44
May 14 2020,4,1,466,44
May 13 2020,3,1,462,44
May 12 2020,0,1,459,43
May 11 2020,1,1,459,43
May 10 2020,0,0,458,43
May 9 2020,0,1,458,43
May 8 2020,0,1,458,43
May 7 2020,3,1,459,43
May 6 2020,0,1,456,43
May 5 2020,0,1,456,43
May 4 2020,0,1,457,43
May 3 2020,2,1,457,43
May 2 2020,2,1,455,43
May 1 2020,0,1,453,43
Apr 30 2020,2,1,453,43
Apr 29 2020,0,1,451,43
Apr 28 2020,0,2,451,43
Apr 27 2020,2,2,451,43
Apr 26 2020,4,2,449,42
Apr 25 2020,1,3,445,42
Apr 24 2020,0,3,444,42
Apr 23 2020,2,3,444,42
Apr 22 2020,3,4,442,42
Apr 21 2020,2,5,439,41
Apr 20 2020,4,6,437,41
Apr 19 2020,7,6,433,41
Apr 18 2020,4,7,426,40
Apr 17 2020,0,8,422,40
Apr 16 2020,7,8,422,40
Apr 15 2020,11,9,415,39
Apr 14 2020,6,10,404,38
Apr 13 2020,4,11,398,38
Apr 12 2020,17,13,394,37
Apr 11 2020,12,14,377,36
Apr 10 2020,0,15,365,34
Apr 9 2020,13,17,365,34
Apr 8 2020,20,18,352,33
Apr 7 2020,12,18,332,31
Apr 6 2020,20,19,320,30
Apr 5 2020,19,18,300,28
Apr 4 2020,19,19,281,27
Apr 3 2020,18,20,262,25
Apr 2 2020,16,22,244,23
Apr 1 2020,25,23,228,22
Mar 31 2020,19,22,203,19
Mar 30 2020,11,21,184,17
Mar 29 2020,26,20,173,16
Mar 28 2020,26,17,147,14
Mar 27 2020,31,14,121,11
Mar 26 2020,25,11,90,9
Mar 25 2020,17,8,65,6
Mar 24 2020,11,5,48,5
Mar 23 2020,3,4,37,4
Mar 22 2020,7,4,34,3
Mar 21 2020,6,4,27,3
Mar 20 2020,6,3,21,2
Mar 19 2020,3,2,15,1
Mar 18 2020,1,2,12,1
Mar 17 2020,4,2,11,1
Mar 16 2020,0,1,7,1
Mar 15 2020,6,1,7,1
Mar 14 2020,0,0,1,0
Mar 13 2020,0,0,1,0
Mar 12 2020,0,0,1,0
Mar 11 2020,1,0,1,0
Mar 10 2020,0,0,0,0
Mar 9 2020,0,0,0,0
Mar 8 2020,0,0,0,0
Mar 7 2020,0,0,0,0
Mar 6 2020,0,0,0,0
Mar 5 2020,0,0,0,0
Mar 4 2020,0,0,0,0
