New Case Trends - Montana
Date generated: Thu Jul 30 2020 21:30:16 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,113, 124
Jul 28 2020,286, 136
Jul 27 2020,0, 109
Jul 26 2020,39, 121
Jul 25 2020,95, 124
Jul 24 2020,210, 126
Jul 23 2020,128, 99
Jul 22 2020,197, 99
Jul 21 2020,91, 109
Jul 20 2020,88, 111
Jul 19 2020,62, 99
Jul 18 2020,105, 113
Jul 17 2020,24, 110
Jul 16 2020,124, 110
Jul 15 2020,266, 107
Jul 14 2020,109, 83
Jul 13 2020,2, 85
Jul 12 2020,164, 85
Jul 11 2020,84, 73
Jul 10 2020,24, 66
Jul 9 2020,103, 64
Jul 8 2020,95, 55
Jul 7 2020,122, 50
Jul 6 2020,0, 40
Jul 5 2020,82, 47
Jul 4 2020,39, 45
Jul 3 2020,5, 39
Jul 2 2020,40, 42
Jul 1 2020,65, 40
Jun 30 2020,51, 36
Jun 29 2020,48, 33
Jun 28 2020,67, 29
Jun 27 2020,0, 19
Jun 26 2020,23, 22
Jun 25 2020,26, 23
Jun 24 2020,37, 25
Jun 23 2020,32, 19
Jun 22 2020,17, 17
Jun 21 2020,1, 15
Jun 20 2020,18, 18
Jun 19 2020,32, 16
Jun 18 2020,36, 13
Jun 17 2020,0, 10
Jun 16 2020,18, 11
Jun 15 2020,3, 9
Jun 14 2020,21, 9
Jun 13 2020,0, 7
Jun 12 2020,15, 7
Jun 11 2020,12, 5
Jun 10 2020,7, 3
Jun 9 2020,6, 4
Jun 8 2020,0, 4
Jun 7 2020,8, 5
Jun 6 2020,0, 5
Jun 5 2020,1, 5
Jun 4 2020,0, 7
Jun 3 2020,14, 8
Jun 2 2020,2, 7
Jun 1 2020,8, 6
May 31 2020,10, 5
May 30 2020,0, 4
May 29 2020,12, 4
May 28 2020,8, 2
May 27 2020,6, 1
May 26 2020,0, 0
May 25 2020,0, 1
May 24 2020,0, 1
May 23 2020,0, 2
May 22 2020,0, 2
May 21 2020,1, 2
May 20 2020,0, 2
May 19 2020,8, 3
May 18 2020,0, 2
May 17 2020,2, 2
May 16 2020,2, 1
May 15 2020,0, 1
May 14 2020,4, 1
May 13 2020,3, 1
May 12 2020,0, 1
May 11 2020,1, 1
May 10 2020,0, 0
May 9 2020,0, 1
May 8 2020,0, 1
May 7 2020,3, 1
May 6 2020,0, 1
May 5 2020,0, 1
May 4 2020,0, 1
May 3 2020,2, 1
May 2 2020,2, 1
May 1 2020,0, 1
Apr 30 2020,2, 1
Apr 29 2020,0, 1
Apr 28 2020,0, 2
Apr 27 2020,2, 2
Apr 26 2020,4, 2
Apr 25 2020,1, 3
Apr 24 2020,0, 3
Apr 23 2020,2, 3
Apr 22 2020,3, 4
Apr 21 2020,2, 5
Apr 20 2020,4, 6
Apr 19 2020,7, 6
Apr 18 2020,4, 7
Apr 17 2020,0, 8
Apr 16 2020,7, 8
Apr 15 2020,11, 9
Apr 14 2020,6, 10
Apr 13 2020,4, 11
Apr 12 2020,17, 13
Apr 11 2020,12, 14
Apr 10 2020,0, 15
Apr 9 2020,13, 17
Apr 8 2020,20, 18
Apr 7 2020,12, 18
Apr 6 2020,20, 19
Apr 5 2020,19, 18
Apr 4 2020,19, 19
Apr 3 2020,18, 20
Apr 2 2020,16, 22
Apr 1 2020,25, 23
Mar 31 2020,19, 22
Mar 30 2020,11, 21
Mar 29 2020,26, 20
Mar 28 2020,26, 17
Mar 27 2020,31, 14
Mar 26 2020,25, 11
Mar 25 2020,17, 8
Mar 24 2020,11, 5
Mar 23 2020,3, 4
Mar 22 2020,7, 4
Mar 21 2020,6, 4
Mar 20 2020,6, 3
Mar 19 2020,3, 2
Mar 18 2020,1, 2
Mar 17 2020,4, 2
Mar 16 2020,0, 1
Mar 15 2020,6, 1
Mar 14 2020,0, 0
Mar 13 2020,0, 0
Mar 12 2020,0, 0
Mar 11 2020,1, 0
Mar 10 2020,0, 0
Mar 9 2020,0, 0
Mar 8 2020,0, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
