Rate per 100000 Trends - Montana
Date generated: Thu Jul 30 2020 21:30:33 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,356, 
Jul 28 2020,345, 
Jul 27 2020,318, 
Jul 26 2020,318, 
Jul 25 2020,315, 
Jul 24 2020,306, 
Jul 23 2020,286, 
Jul 22 2020,274, 
Jul 21 2020,255, 
Jul 20 2020,247, 
Jul 19 2020,238, 
Jul 18 2020,233, 
Jul 17 2020,223, 
Jul 16 2020,221, 
Jul 15 2020,209, 
Jul 14 2020,184, 
Jul 13 2020,174, 
Jul 12 2020,173, 
Jul 11 2020,158, 
Jul 10 2020,150, 
Jul 9 2020,148, 
Jul 8 2020,138, 
Jul 7 2020,129, 
Jul 6 2020,118, 
Jul 5 2020,118, 
Jul 4 2020,110, 
Jul 3 2020,106, 
Jul 2 2020,106, 
Jul 1 2020,102, 
Jun 30 2020,96, 
Jun 29 2020,91, 
Jun 28 2020,87, 
Jun 27 2020,80, 
Jun 26 2020,80, 
Jun 25 2020,78, 
Jun 24 2020,76, 
Jun 23 2020,72, 
Jun 22 2020,69, 
Jun 21 2020,68, 
Jun 20 2020,67, 
Jun 19 2020,66, 
Jun 18 2020,63, 
Jun 17 2020,59, 
Jun 16 2020,59, 
Jun 15 2020,58, 
Jun 14 2020,57, 
Jun 13 2020,55, 
Jun 12 2020,55, 
Jun 11 2020,54, 
Jun 10 2020,53, 
Jun 9 2020,52, 
Jun 8 2020,52, 
Jun 7 2020,52, 
Jun 6 2020,51, 
Jun 5 2020,51, 
Jun 4 2020,51, 
Jun 3 2020,51, 
Jun 2 2020,49, 
Jun 1 2020,49, 
May 31 2020,49, 
May 30 2020,48, 
May 29 2020,48, 
May 28 2020,46, 
May 27 2020,46, 
May 26 2020,45, 
May 25 2020,45, 
May 24 2020,45, 
May 23 2020,45, 
May 22 2020,45, 
May 21 2020,45, 
May 20 2020,45, 
May 19 2020,45, 
May 18 2020,44, 
May 17 2020,44, 
May 16 2020,44, 
May 15 2020,44, 
May 14 2020,44, 
May 13 2020,44, 
May 12 2020,43, 
May 11 2020,43, 
May 10 2020,43, 
May 9 2020,43, 
May 8 2020,43, 
May 7 2020,43, 
May 6 2020,43, 
May 5 2020,43, 
May 4 2020,43, 
May 3 2020,43, 
May 2 2020,43, 
May 1 2020,43, 
Apr 30 2020,43, 
Apr 29 2020,43, 
Apr 28 2020,43, 
Apr 27 2020,43, 
Apr 26 2020,42, 
Apr 25 2020,42, 
Apr 24 2020,42, 
Apr 23 2020,42, 
Apr 22 2020,42, 
Apr 21 2020,41, 
Apr 20 2020,41, 
Apr 19 2020,41, 
Apr 18 2020,40, 
Apr 17 2020,40, 
Apr 16 2020,40, 
Apr 15 2020,39, 
Apr 14 2020,38, 
Apr 13 2020,38, 
Apr 12 2020,37, 
Apr 11 2020,36, 
Apr 10 2020,34, 
Apr 9 2020,34, 
Apr 8 2020,33, 
Apr 7 2020,31, 
Apr 6 2020,30, 
Apr 5 2020,28, 
Apr 4 2020,27, 
Apr 3 2020,25, 
Apr 2 2020,23, 
Apr 1 2020,22, 
Mar 31 2020,19, 
Mar 30 2020,17, 
Mar 29 2020,16, 
Mar 28 2020,14, 
Mar 27 2020,11, 
Mar 26 2020,9, 
Mar 25 2020,6, 
Mar 24 2020,5, 
Mar 23 2020,4, 
Mar 22 2020,3, 
Mar 21 2020,3, 
Mar 20 2020,2, 
Mar 19 2020,1, 
Mar 18 2020,1, 
Mar 17 2020,1, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,0, 
Mar 13 2020,0, 
Mar 12 2020,0, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
