Total Cases Trends - Montana
Date generated: Thu Jul 30 2020 21:30:30 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,3780, 
Jul 28 2020,3667, 
Jul 27 2020,3381, 
Jul 26 2020,3381, 
Jul 25 2020,3342, 
Jul 24 2020,3247, 
Jul 23 2020,3037, 
Jul 22 2020,2909, 
Jul 21 2020,2712, 
Jul 20 2020,2621, 
Jul 19 2020,2533, 
Jul 18 2020,2471, 
Jul 17 2020,2366, 
Jul 16 2020,2342, 
Jul 15 2020,2218, 
Jul 14 2020,1952, 
Jul 13 2020,1843, 
Jul 12 2020,1841, 
Jul 11 2020,1677, 
Jul 10 2020,1593, 
Jul 9 2020,1569, 
Jul 8 2020,1466, 
Jul 7 2020,1371, 
Jul 6 2020,1249, 
Jul 5 2020,1249, 
Jul 4 2020,1167, 
Jul 3 2020,1128, 
Jul 2 2020,1123, 
Jul 1 2020,1083, 
Jun 30 2020,1018, 
Jun 29 2020,967, 
Jun 28 2020,919, 
Jun 27 2020,852, 
Jun 26 2020,852, 
Jun 25 2020,829, 
Jun 24 2020,803, 
Jun 23 2020,766, 
Jun 22 2020,734, 
Jun 21 2020,717, 
Jun 20 2020,716, 
Jun 19 2020,698, 
Jun 18 2020,666, 
Jun 17 2020,630, 
Jun 16 2020,630, 
Jun 15 2020,612, 
Jun 14 2020,609, 
Jun 13 2020,588, 
Jun 12 2020,588, 
Jun 11 2020,573, 
Jun 10 2020,561, 
Jun 9 2020,554, 
Jun 8 2020,548, 
Jun 7 2020,548, 
Jun 6 2020,540, 
Jun 5 2020,540, 
Jun 4 2020,539, 
Jun 3 2020,539, 
Jun 2 2020,525, 
Jun 1 2020,523, 
May 31 2020,515, 
May 30 2020,505, 
May 29 2020,505, 
May 28 2020,493, 
May 27 2020,485, 
May 26 2020,479, 
May 25 2020,479, 
May 24 2020,479, 
May 23 2020,479, 
May 22 2020,479, 
May 21 2020,479, 
May 20 2020,478, 
May 19 2020,478, 
May 18 2020,470, 
May 17 2020,470, 
May 16 2020,468, 
May 15 2020,466, 
May 14 2020,466, 
May 13 2020,462, 
May 12 2020,459, 
May 11 2020,459, 
May 10 2020,458, 
May 9 2020,458, 
May 8 2020,458, 
May 7 2020,459, 
May 6 2020,456, 
May 5 2020,456, 
May 4 2020,457, 
May 3 2020,457, 
May 2 2020,455, 
May 1 2020,453, 
Apr 30 2020,453, 
Apr 29 2020,451, 
Apr 28 2020,451, 
Apr 27 2020,451, 
Apr 26 2020,449, 
Apr 25 2020,445, 
Apr 24 2020,444, 
Apr 23 2020,444, 
Apr 22 2020,442, 
Apr 21 2020,439, 
Apr 20 2020,437, 
Apr 19 2020,433, 
Apr 18 2020,426, 
Apr 17 2020,422, 
Apr 16 2020,422, 
Apr 15 2020,415, 
Apr 14 2020,404, 
Apr 13 2020,398, 
Apr 12 2020,394, 
Apr 11 2020,377, 
Apr 10 2020,365, 
Apr 9 2020,365, 
Apr 8 2020,352, 
Apr 7 2020,332, 
Apr 6 2020,320, 
Apr 5 2020,300, 
Apr 4 2020,281, 
Apr 3 2020,262, 
Apr 2 2020,244, 
Apr 1 2020,228, 
Mar 31 2020,203, 
Mar 30 2020,184, 
Mar 29 2020,173, 
Mar 28 2020,147, 
Mar 27 2020,121, 
Mar 26 2020,90, 
Mar 25 2020,65, 
Mar 24 2020,48, 
Mar 23 2020,37, 
Mar 22 2020,34, 
Mar 21 2020,27, 
Mar 20 2020,21, 
Mar 19 2020,15, 
Mar 18 2020,12, 
Mar 17 2020,11, 
Mar 16 2020,7, 
Mar 15 2020,7, 
Mar 14 2020,1, 
Mar 13 2020,1, 
Mar 12 2020,1, 
Mar 11 2020,1, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
