Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,13,31,6513,480
Jul 28 2020,59,34,6500,479
Jul 27 2020,5,27,6441,475
Jul 26 2020,21,33,6436,475
Jul 25 2020,40,32,6415,473
Jul 24 2020,57,30,6375,470
Jul 23 2020,23,26,6318,466
Jul 22 2020,33,26,6295,464
Jul 21 2020,13,24,6262,462
Jul 20 2020,46,26,6249,461
Jul 19 2020,15,21,6203,457
Jul 18 2020,23,23,6188,456
Jul 17 2020,26,25,6165,455
Jul 16 2020,26,24,6139,453
Jul 15 2020,22,23,6113,451
Jul 14 2020,23,23,6091,449
Jul 13 2020,14,22,6068,447
Jul 12 2020,30,22,6054,446
Jul 11 2020,33,24,6024,444
Jul 10 2020,18,24,5991,442
Jul 9 2020,21,22,5973,440
Jul 8 2020,20,21,5952,439
Jul 7 2020,18,21,5932,437
Jul 6 2020,17,22,5914,436
Jul 5 2020,40,21,5897,435
Jul 4 2020,35,27,5857,432
Jul 3 2020,0,26,5822,429
Jul 2 2020,20,26,5822,429
Jul 1 2020,20,29,5802,428
Jun 30 2020,22,30,5782,426
Jun 29 2020,13,29,5760,425
Jun 28 2020,76,29,5747,424
Jun 27 2020,33,22,5671,418
Jun 26 2020,0,27,5638,416
Jun 25 2020,40,27,5638,416
Jun 24 2020,27,23,5598,413
Jun 23 2020,13,30,5571,411
Jun 22 2020,14,30,5558,410
Jun 21 2020,26,32,5544,409
Jun 20 2020,68,31,5518,407
Jun 19 2020,0,28,5450,402
Jun 18 2020,14,34,5450,402
Jun 17 2020,72,37,5436,401
Jun 16 2020,19,33,5364,395
Jun 15 2020,27,38,5345,394
Jun 14 2020,19,39,5318,392
Jun 13 2020,48,40,5299,391
Jun 12 2020,42,43,5251,387
Jun 11 2020,31,48,5209,384
Jun 10 2020,46,55,5178,382
Jun 9 2020,53,55,5132,378
Jun 8 2020,36,56,5079,374
Jun 7 2020,24,56,5043,372
Jun 6 2020,66,68,5019,370
Jun 5 2020,77,66,4953,365
Jun 4 2020,81,70,4876,360
Jun 3 2020,46,73,4795,354
Jun 2 2020,64,74,4749,350
Jun 1 2020,34,70,4685,345
May 31 2020,106,72,4651,343
May 30 2020,53,65,4545,335
May 29 2020,106,68,4492,331
May 28 2020,100,64,4386,323
May 27 2020,55,60,4286,316
May 26 2020,34,73,4231,312
May 25 2020,48,78,4197,309
May 24 2020,60,79,4149,306
May 23 2020,75,76,4089,301
May 22 2020,79,79,4014,296
May 21 2020,67,79,3935,290
May 20 2020,147,81,3868,285
May 19 2020,69,69,3721,274
May 18 2020,56,70,3652,269
May 17 2020,40,75,3596,265
May 16 2020,92,78,3556,262
May 15 2020,82,74,3464,255
May 14 2020,83,77,3382,249
May 13 2020,60,80,3299,243
May 12 2020,79,86,3239,239
May 11 2020,89,82,3160,233
May 10 2020,60,79,3071,226
May 9 2020,64,83,3011,222
May 8 2020,104,91,2947,217
May 7 2020,103,100,2843,210
May 6 2020,104,98,2740,202
May 5 2020,48,89,2636,194
May 4 2020,70,93,2588,191
May 3 2020,89,93,2518,186
May 2 2020,119,92,2429,179
May 1 2020,164,84,2310,170
Apr 30 2020,92,68,2146,158
Apr 29 2020,44,67,2054,151
Apr 28 2020,72,74,2010,148
Apr 27 2020,74,70,1938,143
Apr 26 2020,77,67,1864,137
Apr 25 2020,67,64,1787,132
Apr 24 2020,50,62,1720,127
Apr 23 2020,82,66,1670,123
Apr 22 2020,97,64,1588,117
Apr 21 2020,44,57,1491,110
Apr 20 2020,55,61,1447,107
Apr 19 2020,50,58,1392,103
Apr 18 2020,55,59,1342,99
Apr 17 2020,76,57,1287,95
Apr 16 2020,72,56,1211,89
Apr 15 2020,48,50,1139,84
Apr 14 2020,71,49,1091,80
Apr 13 2020,35,44,1020,75
Apr 12 2020,56,45,985,73
Apr 11 2020,44,44,929,69
Apr 10 2020,66,49,885,65
Apr 9 2020,31,49,819,60
Apr 8 2020,41,53,788,58
Apr 7 2020,32,54,747,55
Apr 6 2020,46,57,715,53
Apr 5 2020,48,59,669,49
Apr 4 2020,81,58,621,46
Apr 3 2020,61,50,540,40
Apr 2 2020,64,46,479,35
Apr 1 2020,48,40,415,31
Mar 31 2020,53,37,367,27
Mar 30 2020,56,30,314,23
Mar 29 2020,44,26,258,19
Mar 28 2020,27,21,214,16
Mar 27 2020,29,19,187,14
Mar 26 2020,21,16,158,12
Mar 25 2020,29,14,137,10
Mar 24 2020,7,12,108,8
Mar 23 2020,23,12,101,7
Mar 22 2020,13,9,78,6
Mar 21 2020,10,8,65,5
Mar 20 2020,11,7,55,4
Mar 19 2020,5,5,44,3
Mar 18 2020,13,5,39,3
Mar 17 2020,9,3,26,2
Mar 16 2020,4,2,17,1
Mar 15 2020,7,1,13,1
Mar 14 2020,0,1,6,0
Mar 13 2020,0,1,6,0
Mar 12 2020,1,1,6,0
Mar 11 2020,0,0,5,0
Mar 10 2020,1,0,5,0
Mar 9 2020,0,0,4,0
Mar 8 2020,2,1,4,0
Mar 7 2020,0,0,2,0
Mar 6 2020,0,0,2,0
Mar 5 2020,0,0,2,0
Mar 4 2020,0,0,2,0
Mar 3 2020,1,0,2,0
Mar 2 2020,1,0,1,0
Mar 1 2020,0,0,0,0
Feb 29 2020,0,0,0,0
Feb 28 2020,0,0,0,0
Feb 27 2020,0,0,0,0
Feb 26 2020,0,0,0,0
Feb 25 2020,0,0,0,0
Feb 24 2020,0,0,0,0
Feb 23 2020,0,0,0,0
Feb 22 2020,0,0,0,0
Feb 21 2020,0,0,0,0
Feb 20 2020,0,0,0,0
Feb 19 2020,0,0,0,0
Feb 18 2020,0,0,0,0
Feb 17 2020,0,0,0,0
Feb 16 2020,0,0,0,0
Feb 15 2020,0,0,0,0
Feb 14 2020,0,0,0,0
Feb 13 2020,0,0,0,0
Feb 12 2020,0,0,0,0
Feb 11 2020,0,0,0,0
Feb 10 2020,0,0,0,0
Feb 9 2020,0,0,0,0
Feb 8 2020,0,0,0,0
Feb 7 2020,0,0,0,0
Feb 6 2020,0,0,0,0
Feb 5 2020,0,0,0,0
Feb 4 2020,0,0,0,0
Feb 3 2020,0,0,0,0
Feb 2 2020,0,0,0,0
Feb 1 2020,0,0,0,0
Jan 31 2020,0,0,0,0
Jan 30 2020,0,0,0,0
Jan 29 2020,0,0,0,0
Jan 28 2020,0,0,0,0
Jan 27 2020,0,0,0,0
Jan 26 2020,0,0,0,0
Jan 25 2020,0,0,0,0
Jan 24 2020,0,0,0,0
Jan 23 2020,0,0,0,0
Jan 22 2020,0,0,0,0
