New Case Trends - New Hampshire
Date generated: Thu Jul 30 2020 21:48:15 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,13, 31
Jul 28 2020,59, 34
Jul 27 2020,5, 27
Jul 26 2020,21, 33
Jul 25 2020,40, 32
Jul 24 2020,57, 30
Jul 23 2020,23, 26
Jul 22 2020,33, 26
Jul 21 2020,13, 24
Jul 20 2020,46, 26
Jul 19 2020,15, 21
Jul 18 2020,23, 23
Jul 17 2020,26, 25
Jul 16 2020,26, 24
Jul 15 2020,22, 23
Jul 14 2020,23, 23
Jul 13 2020,14, 22
Jul 12 2020,30, 22
Jul 11 2020,33, 24
Jul 10 2020,18, 24
Jul 9 2020,21, 22
Jul 8 2020,20, 21
Jul 7 2020,18, 21
Jul 6 2020,17, 22
Jul 5 2020,40, 21
Jul 4 2020,35, 27
Jul 3 2020,0, 26
Jul 2 2020,20, 26
Jul 1 2020,20, 29
Jun 30 2020,22, 30
Jun 29 2020,13, 29
Jun 28 2020,76, 29
Jun 27 2020,33, 22
Jun 26 2020,0, 27
Jun 25 2020,40, 27
Jun 24 2020,27, 23
Jun 23 2020,13, 30
Jun 22 2020,14, 30
Jun 21 2020,26, 32
Jun 20 2020,68, 31
Jun 19 2020,0, 28
Jun 18 2020,14, 34
Jun 17 2020,72, 37
Jun 16 2020,19, 33
Jun 15 2020,27, 38
Jun 14 2020,19, 39
Jun 13 2020,48, 40
Jun 12 2020,42, 43
Jun 11 2020,31, 48
Jun 10 2020,46, 55
Jun 9 2020,53, 55
Jun 8 2020,36, 56
Jun 7 2020,24, 56
Jun 6 2020,66, 68
Jun 5 2020,77, 66
Jun 4 2020,81, 70
Jun 3 2020,46, 73
Jun 2 2020,64, 74
Jun 1 2020,34, 70
May 31 2020,106, 72
May 30 2020,53, 65
May 29 2020,106, 68
May 28 2020,100, 64
May 27 2020,55, 60
May 26 2020,34, 73
May 25 2020,48, 78
May 24 2020,60, 79
May 23 2020,75, 76
May 22 2020,79, 79
May 21 2020,67, 79
May 20 2020,147, 81
May 19 2020,69, 69
May 18 2020,56, 70
May 17 2020,40, 75
May 16 2020,92, 78
May 15 2020,82, 74
May 14 2020,83, 77
May 13 2020,60, 80
May 12 2020,79, 86
May 11 2020,89, 82
May 10 2020,60, 79
May 9 2020,64, 83
May 8 2020,104, 91
May 7 2020,103, 100
May 6 2020,104, 98
May 5 2020,48, 89
May 4 2020,70, 93
May 3 2020,89, 93
May 2 2020,119, 92
May 1 2020,164, 84
Apr 30 2020,92, 68
Apr 29 2020,44, 67
Apr 28 2020,72, 74
Apr 27 2020,74, 70
Apr 26 2020,77, 67
Apr 25 2020,67, 64
Apr 24 2020,50, 62
Apr 23 2020,82, 66
Apr 22 2020,97, 64
Apr 21 2020,44, 57
Apr 20 2020,55, 61
Apr 19 2020,50, 58
Apr 18 2020,55, 59
Apr 17 2020,76, 57
Apr 16 2020,72, 56
Apr 15 2020,48, 50
Apr 14 2020,71, 49
Apr 13 2020,35, 44
Apr 12 2020,56, 45
Apr 11 2020,44, 44
Apr 10 2020,66, 49
Apr 9 2020,31, 49
Apr 8 2020,41, 53
Apr 7 2020,32, 54
Apr 6 2020,46, 57
Apr 5 2020,48, 59
Apr 4 2020,81, 58
Apr 3 2020,61, 50
Apr 2 2020,64, 46
Apr 1 2020,48, 40
Mar 31 2020,53, 37
Mar 30 2020,56, 30
Mar 29 2020,44, 26
Mar 28 2020,27, 21
Mar 27 2020,29, 19
Mar 26 2020,21, 16
Mar 25 2020,29, 14
Mar 24 2020,7, 12
Mar 23 2020,23, 12
Mar 22 2020,13, 9
Mar 21 2020,10, 8
Mar 20 2020,11, 7
Mar 19 2020,5, 5
Mar 18 2020,13, 5
Mar 17 2020,9, 3
Mar 16 2020,4, 2
Mar 15 2020,7, 1
Mar 14 2020,0, 1
Mar 13 2020,0, 1
Mar 12 2020,1, 1
Mar 11 2020,0, 0
Mar 10 2020,1, 0
Mar 9 2020,0, 0
Mar 8 2020,2, 1
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,1, 0
Mar 2 2020,1, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
