Rate per 100000 Trends - New Hampshire
Date generated: Thu Jul 30 2020 21:49:22 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,480, 
Jul 28 2020,479, 
Jul 27 2020,475, 
Jul 26 2020,475, 
Jul 25 2020,473, 
Jul 24 2020,470, 
Jul 23 2020,466, 
Jul 22 2020,464, 
Jul 21 2020,462, 
Jul 20 2020,461, 
Jul 19 2020,457, 
Jul 18 2020,456, 
Jul 17 2020,455, 
Jul 16 2020,453, 
Jul 15 2020,451, 
Jul 14 2020,449, 
Jul 13 2020,447, 
Jul 12 2020,446, 
Jul 11 2020,444, 
Jul 10 2020,442, 
Jul 9 2020,440, 
Jul 8 2020,439, 
Jul 7 2020,437, 
Jul 6 2020,436, 
Jul 5 2020,435, 
Jul 4 2020,432, 
Jul 3 2020,429, 
Jul 2 2020,429, 
Jul 1 2020,428, 
Jun 30 2020,426, 
Jun 29 2020,425, 
Jun 28 2020,424, 
Jun 27 2020,418, 
Jun 26 2020,416, 
Jun 25 2020,416, 
Jun 24 2020,413, 
Jun 23 2020,411, 
Jun 22 2020,410, 
Jun 21 2020,409, 
Jun 20 2020,407, 
Jun 19 2020,402, 
Jun 18 2020,402, 
Jun 17 2020,401, 
Jun 16 2020,395, 
Jun 15 2020,394, 
Jun 14 2020,392, 
Jun 13 2020,391, 
Jun 12 2020,387, 
Jun 11 2020,384, 
Jun 10 2020,382, 
Jun 9 2020,378, 
Jun 8 2020,374, 
Jun 7 2020,372, 
Jun 6 2020,370, 
Jun 5 2020,365, 
Jun 4 2020,360, 
Jun 3 2020,354, 
Jun 2 2020,350, 
Jun 1 2020,345, 
May 31 2020,343, 
May 30 2020,335, 
May 29 2020,331, 
May 28 2020,323, 
May 27 2020,316, 
May 26 2020,312, 
May 25 2020,309, 
May 24 2020,306, 
May 23 2020,301, 
May 22 2020,296, 
May 21 2020,290, 
May 20 2020,285, 
May 19 2020,274, 
May 18 2020,269, 
May 17 2020,265, 
May 16 2020,262, 
May 15 2020,255, 
May 14 2020,249, 
May 13 2020,243, 
May 12 2020,239, 
May 11 2020,233, 
May 10 2020,226, 
May 9 2020,222, 
May 8 2020,217, 
May 7 2020,210, 
May 6 2020,202, 
May 5 2020,194, 
May 4 2020,191, 
May 3 2020,186, 
May 2 2020,179, 
May 1 2020,170, 
Apr 30 2020,158, 
Apr 29 2020,151, 
Apr 28 2020,148, 
Apr 27 2020,143, 
Apr 26 2020,137, 
Apr 25 2020,132, 
Apr 24 2020,127, 
Apr 23 2020,123, 
Apr 22 2020,117, 
Apr 21 2020,110, 
Apr 20 2020,107, 
Apr 19 2020,103, 
Apr 18 2020,99, 
Apr 17 2020,95, 
Apr 16 2020,89, 
Apr 15 2020,84, 
Apr 14 2020,80, 
Apr 13 2020,75, 
Apr 12 2020,73, 
Apr 11 2020,69, 
Apr 10 2020,65, 
Apr 9 2020,60, 
Apr 8 2020,58, 
Apr 7 2020,55, 
Apr 6 2020,53, 
Apr 5 2020,49, 
Apr 4 2020,46, 
Apr 3 2020,40, 
Apr 2 2020,35, 
Apr 1 2020,31, 
Mar 31 2020,27, 
Mar 30 2020,23, 
Mar 29 2020,19, 
Mar 28 2020,16, 
Mar 27 2020,14, 
Mar 26 2020,12, 
Mar 25 2020,10, 
Mar 24 2020,8, 
Mar 23 2020,7, 
Mar 22 2020,6, 
Mar 21 2020,5, 
Mar 20 2020,4, 
Mar 19 2020,3, 
Mar 18 2020,3, 
Mar 17 2020,2, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,0, 
Mar 13 2020,0, 
Mar 12 2020,0, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
