Total Cases Trends - New Hampshire
Date generated: Thu Jul 30 2020 21:49:19 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,6513, 
Jul 28 2020,6500, 
Jul 27 2020,6441, 
Jul 26 2020,6436, 
Jul 25 2020,6415, 
Jul 24 2020,6375, 
Jul 23 2020,6318, 
Jul 22 2020,6295, 
Jul 21 2020,6262, 
Jul 20 2020,6249, 
Jul 19 2020,6203, 
Jul 18 2020,6188, 
Jul 17 2020,6165, 
Jul 16 2020,6139, 
Jul 15 2020,6113, 
Jul 14 2020,6091, 
Jul 13 2020,6068, 
Jul 12 2020,6054, 
Jul 11 2020,6024, 
Jul 10 2020,5991, 
Jul 9 2020,5973, 
Jul 8 2020,5952, 
Jul 7 2020,5932, 
Jul 6 2020,5914, 
Jul 5 2020,5897, 
Jul 4 2020,5857, 
Jul 3 2020,5822, 
Jul 2 2020,5822, 
Jul 1 2020,5802, 
Jun 30 2020,5782, 
Jun 29 2020,5760, 
Jun 28 2020,5747, 
Jun 27 2020,5671, 
Jun 26 2020,5638, 
Jun 25 2020,5638, 
Jun 24 2020,5598, 
Jun 23 2020,5571, 
Jun 22 2020,5558, 
Jun 21 2020,5544, 
Jun 20 2020,5518, 
Jun 19 2020,5450, 
Jun 18 2020,5450, 
Jun 17 2020,5436, 
Jun 16 2020,5364, 
Jun 15 2020,5345, 
Jun 14 2020,5318, 
Jun 13 2020,5299, 
Jun 12 2020,5251, 
Jun 11 2020,5209, 
Jun 10 2020,5178, 
Jun 9 2020,5132, 
Jun 8 2020,5079, 
Jun 7 2020,5043, 
Jun 6 2020,5019, 
Jun 5 2020,4953, 
Jun 4 2020,4876, 
Jun 3 2020,4795, 
Jun 2 2020,4749, 
Jun 1 2020,4685, 
May 31 2020,4651, 
May 30 2020,4545, 
May 29 2020,4492, 
May 28 2020,4386, 
May 27 2020,4286, 
May 26 2020,4231, 
May 25 2020,4197, 
May 24 2020,4149, 
May 23 2020,4089, 
May 22 2020,4014, 
May 21 2020,3935, 
May 20 2020,3868, 
May 19 2020,3721, 
May 18 2020,3652, 
May 17 2020,3596, 
May 16 2020,3556, 
May 15 2020,3464, 
May 14 2020,3382, 
May 13 2020,3299, 
May 12 2020,3239, 
May 11 2020,3160, 
May 10 2020,3071, 
May 9 2020,3011, 
May 8 2020,2947, 
May 7 2020,2843, 
May 6 2020,2740, 
May 5 2020,2636, 
May 4 2020,2588, 
May 3 2020,2518, 
May 2 2020,2429, 
May 1 2020,2310, 
Apr 30 2020,2146, 
Apr 29 2020,2054, 
Apr 28 2020,2010, 
Apr 27 2020,1938, 
Apr 26 2020,1864, 
Apr 25 2020,1787, 
Apr 24 2020,1720, 
Apr 23 2020,1670, 
Apr 22 2020,1588, 
Apr 21 2020,1491, 
Apr 20 2020,1447, 
Apr 19 2020,1392, 
Apr 18 2020,1342, 
Apr 17 2020,1287, 
Apr 16 2020,1211, 
Apr 15 2020,1139, 
Apr 14 2020,1091, 
Apr 13 2020,1020, 
Apr 12 2020,985, 
Apr 11 2020,929, 
Apr 10 2020,885, 
Apr 9 2020,819, 
Apr 8 2020,788, 
Apr 7 2020,747, 
Apr 6 2020,715, 
Apr 5 2020,669, 
Apr 4 2020,621, 
Apr 3 2020,540, 
Apr 2 2020,479, 
Apr 1 2020,415, 
Mar 31 2020,367, 
Mar 30 2020,314, 
Mar 29 2020,258, 
Mar 28 2020,214, 
Mar 27 2020,187, 
Mar 26 2020,158, 
Mar 25 2020,137, 
Mar 24 2020,108, 
Mar 23 2020,101, 
Mar 22 2020,78, 
Mar 21 2020,65, 
Mar 20 2020,55, 
Mar 19 2020,44, 
Mar 18 2020,39, 
Mar 17 2020,26, 
Mar 16 2020,17, 
Mar 15 2020,13, 
Mar 14 2020,6, 
Mar 13 2020,6, 
Mar 12 2020,6, 
Mar 11 2020,5, 
Mar 10 2020,5, 
Mar 9 2020,4, 
Mar 8 2020,4, 
Mar 7 2020,2, 
Mar 6 2020,2, 
Mar 5 2020,2, 
Mar 4 2020,2, 
Mar 3 2020,2, 
Mar 2 2020,1, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
