Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,74,115,6301,829
Jul 28 2020,86,123,6227,819
Jul 27 2020,155,133,6141,808
Jul 26 2020,110,123,5986,788
Jul 25 2020,140,122,5876,773
Jul 24 2020,122,118,5736,755
Jul 23 2020,121,117,5614,739
Jul 22 2020,126,118,5493,723
Jul 21 2020,160,115,5367,706
Jul 20 2020,81,109,5207,685
Jul 19 2020,107,113,5126,674
Jul 18 2020,112,111,5019,660
Jul 17 2020,115,108,4907,646
Jul 16 2020,124,103,4792,631
Jul 15 2020,103,100,4668,614
Jul 14 2020,123,95,4565,601
Jul 13 2020,108,85,4442,584
Jul 12 2020,91,74,4334,570
Jul 11 2020,89,66,4243,558
Jul 10 2020,84,62,4154,547
Jul 9 2020,99,59,4070,536
Jul 8 2020,73,51,3971,522
Jul 7 2020,49,46,3898,513
Jul 6 2020,33,44,3849,506
Jul 5 2020,37,46,3816,502
Jul 4 2020,57,46,3779,497
Jul 3 2020,65,43,3722,490
Jul 2 2020,42,38,3657,481
Jul 1 2020,39,36,3615,476
Jun 30 2020,37,37,3576,471
Jun 29 2020,44,32,3539,466
Jun 28 2020,37,30,3495,460
Jun 27 2020,37,30,3458,455
Jun 26 2020,28,28,3421,450
Jun 25 2020,31,29,3393,446
Jun 24 2020,42,28,3362,442
Jun 23 2020,7,28,3320,437
Jun 22 2020,25,30,3313,436
Jun 21 2020,37,30,3288,433
Jun 20 2020,25,28,3251,428
Jun 19 2020,33,30,3226,424
Jun 18 2020,27,30,3193,420
Jun 17 2020,42,32,3166,417
Jun 16 2020,23,32,3124,411
Jun 15 2020,21,32,3101,408
Jun 14 2020,22,31,3080,405
Jun 13 2020,42,35,3058,402
Jun 12 2020,36,39,3016,397
Jun 11 2020,39,39,2980,392
Jun 10 2020,40,37,2941,387
Jun 9 2020,21,36,2901,382
Jun 8 2020,19,36,2880,379
Jun 7 2020,45,41,2861,376
Jun 6 2020,71,37,2816,371
Jun 5 2020,39,32,2745,361
Jun 4 2020,27,32,2706,356
Jun 3 2020,33,34,2679,353
Jun 2 2020,21,32,2646,348
Jun 1 2020,48,29,2625,345
May 31 2020,23,28,2577,339
May 30 2020,34,32,2554,336
May 29 2020,39,34,2520,332
May 28 2020,42,41,2481,326
May 27 2020,17,54,2439,321
May 26 2020,0,66,2422,319
May 25 2020,39,75,2457,323
May 24 2020,53,74,2418,318
May 23 2020,48,74,2365,311
May 22 2020,88,79,2317,305
May 21 2020,134,74,2229,293
May 20 2020,101,64,2095,276
May 19 2020,63,60,1994,262
May 18 2020,31,59,1931,254
May 17 2020,52,58,1900,250
May 16 2020,87,55,1848,243
May 15 2020,49,48,1761,232
May 14 2020,65,49,1712,225
May 13 2020,76,46,1647,217
May 12 2020,53,44,1571,207
May 11 2020,27,42,1518,200
May 10 2020,27,43,1491,196
May 9 2020,39,44,1464,193
May 8 2020,54,45,1425,188
May 7 2020,48,43,1371,180
May 6 2020,57,41,1323,174
May 5 2020,41,39,1266,167
May 4 2020,34,40,1225,161
May 3 2020,38,46,1191,157
May 2 2020,46,50,1153,152
May 1 2020,40,51,1107,146
Apr 30 2020,34,51,1067,140
Apr 29 2020,42,51,1033,136
Apr 28 2020,49,50,991,130
Apr 27 2020,75,45,942,124
Apr 26 2020,64,40,867,114
Apr 25 2020,55,39,803,106
Apr 24 2020,39,44,748,98
Apr 23 2020,30,45,709,93
Apr 22 2020,35,45,679,89
Apr 21 2020,17,43,644,85
Apr 20 2020,42,42,627,83
Apr 19 2020,57,40,585,77
Apr 18 2020,89,34,528,70
Apr 17 2020,46,23,439,58
Apr 16 2020,28,18,393,52
Apr 15 2020,24,16,365,48
Apr 14 2020,10,15,341,45
Apr 13 2020,23,15,331,44
Apr 12 2020,15,14,308,41
Apr 11 2020,15,15,293,39
Apr 10 2020,9,15,278,37
Apr 9 2020,18,16,269,35
Apr 8 2020,14,15,251,33
Apr 7 2020,12,16,237,31
Apr 6 2020,18,17,225,30
Apr 5 2020,21,16,207,27
Apr 4 2020,13,13,186,25
Apr 3 2020,14,15,173,23
Apr 2 2020,12,14,159,21
Apr 1 2020,21,15,147,19
Mar 31 2020,17,13,126,17
Mar 30 2020,11,11,109,14
Mar 29 2020,4,10,98,13
Mar 28 2020,26,9,94,12
Mar 27 2020,10,6,68,9
Mar 26 2020,13,6,58,8
Mar 25 2020,8,5,45,6
Mar 24 2020,5,5,37,5
Mar 23 2020,2,4,32,4
Mar 22 2020,2,4,30,4
Mar 21 2020,2,4,28,4
Mar 20 2020,7,4,26,3
Mar 19 2020,12,3,19,3
