New Case Trends - North Dakota
Date generated: Thu Jul 30 2020 21:59:34 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,74, 115
Jul 28 2020,86, 123
Jul 27 2020,155, 133
Jul 26 2020,110, 123
Jul 25 2020,140, 122
Jul 24 2020,122, 118
Jul 23 2020,121, 117
Jul 22 2020,126, 118
Jul 21 2020,160, 115
Jul 20 2020,81, 109
Jul 19 2020,107, 113
Jul 18 2020,112, 111
Jul 17 2020,115, 108
Jul 16 2020,124, 103
Jul 15 2020,103, 100
Jul 14 2020,123, 95
Jul 13 2020,108, 85
Jul 12 2020,91, 74
Jul 11 2020,89, 66
Jul 10 2020,84, 62
Jul 9 2020,99, 59
Jul 8 2020,73, 51
Jul 7 2020,49, 46
Jul 6 2020,33, 44
Jul 5 2020,37, 46
Jul 4 2020,57, 46
Jul 3 2020,65, 43
Jul 2 2020,42, 38
Jul 1 2020,39, 36
Jun 30 2020,37, 37
Jun 29 2020,44, 32
Jun 28 2020,37, 30
Jun 27 2020,37, 30
Jun 26 2020,28, 28
Jun 25 2020,31, 29
Jun 24 2020,42, 28
Jun 23 2020,7, 28
Jun 22 2020,25, 30
Jun 21 2020,37, 30
Jun 20 2020,25, 28
Jun 19 2020,33, 30
Jun 18 2020,27, 30
Jun 17 2020,42, 32
Jun 16 2020,23, 32
Jun 15 2020,21, 32
Jun 14 2020,22, 31
Jun 13 2020,42, 35
Jun 12 2020,36, 39
Jun 11 2020,39, 39
Jun 10 2020,40, 37
Jun 9 2020,21, 36
Jun 8 2020,19, 36
Jun 7 2020,45, 41
Jun 6 2020,71, 37
Jun 5 2020,39, 32
Jun 4 2020,27, 32
Jun 3 2020,33, 34
Jun 2 2020,21, 32
Jun 1 2020,48, 29
May 31 2020,23, 28
May 30 2020,34, 32
May 29 2020,39, 34
May 28 2020,42, 41
May 27 2020,17, 54
May 26 2020,0, 66
May 25 2020,39, 75
May 24 2020,53, 74
May 23 2020,48, 74
May 22 2020,88, 79
May 21 2020,134, 74
May 20 2020,101, 64
May 19 2020,63, 60
May 18 2020,31, 59
May 17 2020,52, 58
May 16 2020,87, 55
May 15 2020,49, 48
May 14 2020,65, 49
May 13 2020,76, 46
May 12 2020,53, 44
May 11 2020,27, 42
May 10 2020,27, 43
May 9 2020,39, 44
May 8 2020,54, 45
May 7 2020,48, 43
May 6 2020,57, 41
May 5 2020,41, 39
May 4 2020,34, 40
May 3 2020,38, 46
May 2 2020,46, 50
May 1 2020,40, 51
Apr 30 2020,34, 51
Apr 29 2020,42, 51
Apr 28 2020,49, 50
Apr 27 2020,75, 45
Apr 26 2020,64, 40
Apr 25 2020,55, 39
Apr 24 2020,39, 44
Apr 23 2020,30, 45
Apr 22 2020,35, 45
Apr 21 2020,17, 43
Apr 20 2020,42, 42
Apr 19 2020,57, 40
Apr 18 2020,89, 34
Apr 17 2020,46, 23
Apr 16 2020,28, 18
Apr 15 2020,24, 16
Apr 14 2020,10, 15
Apr 13 2020,23, 15
Apr 12 2020,15, 14
Apr 11 2020,15, 15
Apr 10 2020,9, 15
Apr 9 2020,18, 16
Apr 8 2020,14, 15
Apr 7 2020,12, 16
Apr 6 2020,18, 17
Apr 5 2020,21, 16
Apr 4 2020,13, 13
Apr 3 2020,14, 15
Apr 2 2020,12, 14
Apr 1 2020,21, 15
Mar 31 2020,17, 13
Mar 30 2020,11, 11
Mar 29 2020,4, 10
Mar 28 2020,26, 9
Mar 27 2020,10, 6
Mar 26 2020,13, 6
Mar 25 2020,8, 5
Mar 24 2020,5, 5
Mar 23 2020,2, 4
Mar 22 2020,2, 4
Mar 21 2020,2, 4
Mar 20 2020,7, 4
Mar 19 2020,12, 3
Mar 18 2020,2, 1
Mar 17 2020,4, 1
Mar 16 2020,0, 0
Mar 15 2020,0, 0
Mar 14 2020,0, 0
Mar 13 2020,0, 0
Mar 12 2020,1, 0
Mar 11 2020,0, 0
Mar 10 2020,0, 0
Mar 9 2020,0, 0
Mar 8 2020,0, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
