Rate per 100000 Trends - North Dakota
Date generated: Thu Jul 30 2020 22:00:04 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,829, 
Jul 28 2020,819, 
Jul 27 2020,808, 
Jul 26 2020,788, 
Jul 25 2020,773, 
Jul 24 2020,755, 
Jul 23 2020,739, 
Jul 22 2020,723, 
Jul 21 2020,706, 
Jul 20 2020,685, 
Jul 19 2020,674, 
Jul 18 2020,660, 
Jul 17 2020,646, 
Jul 16 2020,631, 
Jul 15 2020,614, 
Jul 14 2020,601, 
Jul 13 2020,584, 
Jul 12 2020,570, 
Jul 11 2020,558, 
Jul 10 2020,547, 
Jul 9 2020,536, 
Jul 8 2020,522, 
Jul 7 2020,513, 
Jul 6 2020,506, 
Jul 5 2020,502, 
Jul 4 2020,497, 
Jul 3 2020,490, 
Jul 2 2020,481, 
Jul 1 2020,476, 
Jun 30 2020,471, 
Jun 29 2020,466, 
Jun 28 2020,460, 
Jun 27 2020,455, 
Jun 26 2020,450, 
Jun 25 2020,446, 
Jun 24 2020,442, 
Jun 23 2020,437, 
Jun 22 2020,436, 
Jun 21 2020,433, 
Jun 20 2020,428, 
Jun 19 2020,424, 
Jun 18 2020,420, 
Jun 17 2020,417, 
Jun 16 2020,411, 
Jun 15 2020,408, 
Jun 14 2020,405, 
Jun 13 2020,402, 
Jun 12 2020,397, 
Jun 11 2020,392, 
Jun 10 2020,387, 
Jun 9 2020,382, 
Jun 8 2020,379, 
Jun 7 2020,376, 
Jun 6 2020,371, 
Jun 5 2020,361, 
Jun 4 2020,356, 
Jun 3 2020,353, 
Jun 2 2020,348, 
Jun 1 2020,345, 
May 31 2020,339, 
May 30 2020,336, 
May 29 2020,332, 
May 28 2020,326, 
May 27 2020,321, 
May 26 2020,319, 
May 25 2020,323, 
May 24 2020,318, 
May 23 2020,311, 
May 22 2020,305, 
May 21 2020,293, 
May 20 2020,276, 
May 19 2020,262, 
May 18 2020,254, 
May 17 2020,250, 
May 16 2020,243, 
May 15 2020,232, 
May 14 2020,225, 
May 13 2020,217, 
May 12 2020,207, 
May 11 2020,200, 
May 10 2020,196, 
May 9 2020,193, 
May 8 2020,188, 
May 7 2020,180, 
May 6 2020,174, 
May 5 2020,167, 
May 4 2020,161, 
May 3 2020,157, 
May 2 2020,152, 
May 1 2020,146, 
Apr 30 2020,140, 
Apr 29 2020,136, 
Apr 28 2020,130, 
Apr 27 2020,124, 
Apr 26 2020,114, 
Apr 25 2020,106, 
Apr 24 2020,98, 
Apr 23 2020,93, 
Apr 22 2020,89, 
Apr 21 2020,85, 
Apr 20 2020,83, 
Apr 19 2020,77, 
Apr 18 2020,70, 
Apr 17 2020,58, 
Apr 16 2020,52, 
Apr 15 2020,48, 
Apr 14 2020,45, 
Apr 13 2020,44, 
Apr 12 2020,41, 
Apr 11 2020,39, 
Apr 10 2020,37, 
Apr 9 2020,35, 
Apr 8 2020,33, 
Apr 7 2020,31, 
Apr 6 2020,30, 
Apr 5 2020,27, 
Apr 4 2020,25, 
Apr 3 2020,23, 
Apr 2 2020,21, 
Apr 1 2020,19, 
Mar 31 2020,17, 
Mar 30 2020,14, 
Mar 29 2020,13, 
Mar 28 2020,12, 
Mar 27 2020,9, 
Mar 26 2020,8, 
Mar 25 2020,6, 
Mar 24 2020,5, 
Mar 23 2020,4, 
Mar 22 2020,4, 
Mar 21 2020,4, 
Mar 20 2020,3, 
Mar 19 2020,3, 
Mar 18 2020,1, 
Mar 17 2020,1, 
Mar 16 2020,0, 
Mar 15 2020,0, 
Mar 14 2020,0, 
Mar 13 2020,0, 
Mar 12 2020,0, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
