Total Cases Trends - North Dakota
Date generated: Thu Jul 30 2020 21:59:55 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,6301, 
Jul 28 2020,6227, 
Jul 27 2020,6141, 
Jul 26 2020,5986, 
Jul 25 2020,5876, 
Jul 24 2020,5736, 
Jul 23 2020,5614, 
Jul 22 2020,5493, 
Jul 21 2020,5367, 
Jul 20 2020,5207, 
Jul 19 2020,5126, 
Jul 18 2020,5019, 
Jul 17 2020,4907, 
Jul 16 2020,4792, 
Jul 15 2020,4668, 
Jul 14 2020,4565, 
Jul 13 2020,4442, 
Jul 12 2020,4334, 
Jul 11 2020,4243, 
Jul 10 2020,4154, 
Jul 9 2020,4070, 
Jul 8 2020,3971, 
Jul 7 2020,3898, 
Jul 6 2020,3849, 
Jul 5 2020,3816, 
Jul 4 2020,3779, 
Jul 3 2020,3722, 
Jul 2 2020,3657, 
Jul 1 2020,3615, 
Jun 30 2020,3576, 
Jun 29 2020,3539, 
Jun 28 2020,3495, 
Jun 27 2020,3458, 
Jun 26 2020,3421, 
Jun 25 2020,3393, 
Jun 24 2020,3362, 
Jun 23 2020,3320, 
Jun 22 2020,3313, 
Jun 21 2020,3288, 
Jun 20 2020,3251, 
Jun 19 2020,3226, 
Jun 18 2020,3193, 
Jun 17 2020,3166, 
Jun 16 2020,3124, 
Jun 15 2020,3101, 
Jun 14 2020,3080, 
Jun 13 2020,3058, 
Jun 12 2020,3016, 
Jun 11 2020,2980, 
Jun 10 2020,2941, 
Jun 9 2020,2901, 
Jun 8 2020,2880, 
Jun 7 2020,2861, 
Jun 6 2020,2816, 
Jun 5 2020,2745, 
Jun 4 2020,2706, 
Jun 3 2020,2679, 
Jun 2 2020,2646, 
Jun 1 2020,2625, 
May 31 2020,2577, 
May 30 2020,2554, 
May 29 2020,2520, 
May 28 2020,2481, 
May 27 2020,2439, 
May 26 2020,2422, 
May 25 2020,2457, 
May 24 2020,2418, 
May 23 2020,2365, 
May 22 2020,2317, 
May 21 2020,2229, 
May 20 2020,2095, 
May 19 2020,1994, 
May 18 2020,1931, 
May 17 2020,1900, 
May 16 2020,1848, 
May 15 2020,1761, 
May 14 2020,1712, 
May 13 2020,1647, 
May 12 2020,1571, 
May 11 2020,1518, 
May 10 2020,1491, 
May 9 2020,1464, 
May 8 2020,1425, 
May 7 2020,1371, 
May 6 2020,1323, 
May 5 2020,1266, 
May 4 2020,1225, 
May 3 2020,1191, 
May 2 2020,1153, 
May 1 2020,1107, 
Apr 30 2020,1067, 
Apr 29 2020,1033, 
Apr 28 2020,991, 
Apr 27 2020,942, 
Apr 26 2020,867, 
Apr 25 2020,803, 
Apr 24 2020,748, 
Apr 23 2020,709, 
Apr 22 2020,679, 
Apr 21 2020,644, 
Apr 20 2020,627, 
Apr 19 2020,585, 
Apr 18 2020,528, 
Apr 17 2020,439, 
Apr 16 2020,393, 
Apr 15 2020,365, 
Apr 14 2020,341, 
Apr 13 2020,331, 
Apr 12 2020,308, 
Apr 11 2020,293, 
Apr 10 2020,278, 
Apr 9 2020,269, 
Apr 8 2020,251, 
Apr 7 2020,237, 
Apr 6 2020,225, 
Apr 5 2020,207, 
Apr 4 2020,186, 
Apr 3 2020,173, 
Apr 2 2020,159, 
Apr 1 2020,147, 
Mar 31 2020,126, 
Mar 30 2020,109, 
Mar 29 2020,98, 
Mar 28 2020,94, 
Mar 27 2020,68, 
Mar 26 2020,58, 
Mar 25 2020,45, 
Mar 24 2020,37, 
Mar 23 2020,32, 
Mar 22 2020,30, 
Mar 21 2020,28, 
Mar 20 2020,26, 
Mar 19 2020,19, 
Mar 18 2020,7, 
Mar 17 2020,5, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,1, 
Mar 13 2020,1, 
Mar 12 2020,1, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
