Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,75,105,18800,1778
Jul 28 2020,210,106,18725,1771
Jul 27 2020,291,87,18515,1751
Jul 26 2020,0,62,18224,1724
Jul 25 2020,0,62,18224,1724
Jul 24 2020,76,62,18224,1724
Jul 23 2020,86,62,18148,1716
Jul 22 2020,76,60,18062,1708
Jul 21 2020,82,71,17986,1701
Jul 20 2020,111,60,17904,1693
Jul 19 2020,0,69,17793,1683
Jul 18 2020,0,69,17793,1683
Jul 17 2020,82,69,17793,1683
Jul 16 2020,71,67,17711,1675
Jul 15 2020,153,62,17640,1668
Jul 14 2020,0,48,17487,1654
Jul 13 2020,175,71,17487,1654
Jul 12 2020,0,46,17312,1637
Jul 11 2020,0,46,17312,1637
Jul 10 2020,69,46,17312,1637
Jul 9 2020,39,43,17243,1631
Jul 8 2020,50,50,17204,1627
Jul 7 2020,163,49,17154,1622
Jul 6 2020,0,32,16991,1607
Jul 5 2020,0,47,16991,1607
Jul 4 2020,0,47,16991,1607
Jul 3 2020,50,47,16991,1607
Jul 2 2020,88,43,16941,1602
Jul 1 2020,40,35,16853,1594
Jun 30 2020,49,40,16813,1590
Jun 29 2020,103,44,16764,1586
Jun 28 2020,0,46,16661,1576
Jun 27 2020,0,46,16661,1576
Jun 26 2020,21,46,16661,1576
Jun 25 2020,34,53,16640,1574
Jun 24 2020,73,56,16606,1571
Jun 23 2020,74,53,16533,1564
Jun 22 2020,122,52,16459,1557
Jun 21 2020,0,56,16337,1545
Jun 20 2020,0,56,16337,1545
Jun 19 2020,68,56,16337,1545
Jun 18 2020,56,58,16269,1539
Jun 17 2020,49,65,16213,1533
Jun 16 2020,71,68,16164,1529
Jun 15 2020,146,64,16093,1522
Jun 14 2020,0,72,15947,1508
Jun 13 2020,0,72,15947,1508
Jun 12 2020,85,72,15947,1508
Jun 11 2020,106,77,15862,1500
Jun 10 2020,65,77,15756,1490
Jun 9 2020,49,83,15691,1484
Jun 8 2020,201,93,15642,1479
Jun 7 2020,0,73,15441,1460
Jun 6 2020,0,89,15441,1460
Jun 5 2020,116,115,15441,1460
Jun 4 2020,106,119,15325,1449
Jun 3 2020,107,124,15219,1439
Jun 2 2020,121,129,15112,1429
Jun 1 2020,63,132,14991,1418
May 31 2020,109,123,14928,1412
May 30 2020,184,124,14819,1402
May 29 2020,141,128,14635,1384
May 28 2020,141,132,14494,1371
May 27 2020,143,142,14353,1358
May 26 2020,145,180,14210,1344
May 25 2020,0,181,14065,1330
May 24 2020,113,199,14065,1330
May 23 2020,216,217,13952,1320
May 22 2020,165,217,13736,1299
May 21 2020,215,222,13571,1284
May 20 2020,405,217,13356,1263
May 19 2020,156,191,12951,1225
May 18 2020,121,192,12795,1210
May 17 2020,240,200,12674,1199
May 16 2020,215,206,12434,1176
May 15 2020,203,206,12219,1156
May 14 2020,181,212,12016,1137
May 13 2020,221,233,11835,1119
May 12 2020,164,240,11614,1098
May 11 2020,176,257,11450,1083
May 10 2020,285,257,11274,1066
May 9 2020,210,243,10989,1039
May 8 2020,249,260,10779,1020
May 7 2020,325,273,10530,996
May 6 2020,272,280,10205,965
May 5 2020,281,287,9933,940
May 4 2020,175,278,9652,913
May 3 2020,188,291,9477,896
May 2 2020,327,309,9289,879
May 1 2020,341,323,8962,848
Apr 30 2020,374,338,8621,815
Apr 29 2020,321,319,8247,780
Apr 28 2020,218,316,7926,750
Apr 27 2020,269,374,7708,729
Apr 26 2020,310,390,7439,704
Apr 25 2020,430,377,7129,674
Apr 24 2020,443,360,6699,634
Apr 23 2020,244,327,6256,592
Apr 22 2020,296,355,6012,569
Apr 21 2020,626,335,5716,541
Apr 20 2020,384,302,5090,481
Apr 19 2020,215,292,4706,445
Apr 18 2020,314,306,4491,425
Apr 17 2020,208,309,4177,395
Apr 16 2020,440,290,3969,375
Apr 15 2020,160,297,3529,334
Apr 14 2020,393,279,3369,319
Apr 13 2020,311,258,2976,282
Apr 12 2020,316,249,2665,252
Apr 11 2020,334,220,2349,222
Apr 10 2020,76,186,2015,191
Apr 9 2020,489,180,1939,183
Apr 8 2020,36,126,1450,137
Apr 7 2020,244,128,1414,134
Apr 6 2020,248,99,1170,111
Apr 5 2020,116,90,922,87
Apr 4 2020,95,81,806,76
Apr 3 2020,30,73,711,67
Apr 2 2020,115,70,681,64
Apr 1 2020,46,62,566,54
Mar 31 2020,41,57,520,49
Mar 30 2020,185,53,479,45
Mar 29 2020,55,28,294,28
Mar 28 2020,36,25,239,23
Mar 27 2020,15,21,203,19
Mar 26 2020,56,21,188,18
Mar 25 2020,8,14,132,13
Mar 24 2020,18,14,124,12
Mar 23 2020,9,12,106,10
Mar 22 2020,31,11,97,9
Mar 21 2020,12,8,66,6
Mar 20 2020,10,7,54,5
Mar 19 2020,11,6,44,4
Mar 18 2020,10,4,33,3
Mar 17 2020,0,3,23,2
Mar 16 2020,2,3,23,2
Mar 15 2020,12,3,21,2
Mar 14 2020,4,1,9,1
Mar 13 2020,0,0,5,1
Mar 12 2020,0,0,5,1
Mar 11 2020,0,0,5,1
Mar 10 2020,2,0,5,1
Mar 9 2020,0,0,3,0
Mar 8 2020,0,0,3,0
Mar 7 2020,1,0,3,0
Mar 6 2020,0,0,2,0
Mar 5 2020,0,0,2,0
Mar 4 2020,0,0,2,0
Mar 3 2020,0,0,2,0
Mar 2 2020,1,0,2,0
Mar 1 2020,1,0,1,0
Feb 29 2020,0,0,0,0
Feb 28 2020,0,0,0,0
Feb 27 2020,0,0,0,0
Feb 26 2020,0,0,0,0
Feb 25 2020,0,0,0,0
Feb 24 2020,0,0,0,0
Feb 23 2020,0,0,0,0
Feb 22 2020,0,0,0,0
Feb 21 2020,0,0,0,0
Feb 20 2020,0,0,0,0
Feb 19 2020,0,0,0,0
Feb 18 2020,0,0,0,0
Feb 17 2020,0,0,0,0
Feb 16 2020,0,0,0,0
Feb 15 2020,0,0,0,0
Feb 14 2020,0,0,0,0
Feb 13 2020,0,0,0,0
Feb 12 2020,0,0,0,0
Feb 11 2020,0,0,0,0
Feb 10 2020,0,0,0,0
Feb 9 2020,0,0,0,0
Feb 8 2020,0,0,0,0
Feb 7 2020,0,0,0,0
Feb 6 2020,0,0,0,0
Feb 5 2020,0,0,0,0
Feb 4 2020,0,0,0,0
Feb 3 2020,0,0,0,0
Feb 2 2020,0,0,0,0
Feb 1 2020,0,0,0,0
Jan 31 2020,0,0,0,0
Jan 30 2020,0,0,0,0
Jan 29 2020,0,0,0,0
Jan 28 2020,0,0,0,0
Jan 27 2020,0,0,0,0
Jan 26 2020,0,0,0,0
Jan 25 2020,0,0,0,0
Jan 24 2020,0,0,0,0
Jan 23 2020,0,0,0,0
Jan 22 2020,0,0,0,0
