New Case Trends - Rhode Island
Date generated: Thu Jul 30 2020 21:19:21 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,75, 105
Jul 28 2020,210, 106
Jul 27 2020,291, 87
Jul 26 2020,0, 62
Jul 25 2020,0, 62
Jul 24 2020,76, 62
Jul 23 2020,86, 62
Jul 22 2020,76, 60
Jul 21 2020,82, 71
Jul 20 2020,111, 60
Jul 19 2020,0, 69
Jul 18 2020,0, 69
Jul 17 2020,82, 69
Jul 16 2020,71, 67
Jul 15 2020,153, 62
Jul 14 2020,0, 48
Jul 13 2020,175, 71
Jul 12 2020,0, 46
Jul 11 2020,0, 46
Jul 10 2020,69, 46
Jul 9 2020,39, 43
Jul 8 2020,50, 50
Jul 7 2020,163, 49
Jul 6 2020,0, 32
Jul 5 2020,0, 47
Jul 4 2020,0, 47
Jul 3 2020,50, 47
Jul 2 2020,88, 43
Jul 1 2020,40, 35
Jun 30 2020,49, 40
Jun 29 2020,103, 44
Jun 28 2020,0, 46
Jun 27 2020,0, 46
Jun 26 2020,21, 46
Jun 25 2020,34, 53
Jun 24 2020,73, 56
Jun 23 2020,74, 53
Jun 22 2020,122, 52
Jun 21 2020,0, 56
Jun 20 2020,0, 56
Jun 19 2020,68, 56
Jun 18 2020,56, 58
Jun 17 2020,49, 65
Jun 16 2020,71, 68
Jun 15 2020,146, 64
Jun 14 2020,0, 72
Jun 13 2020,0, 72
Jun 12 2020,85, 72
Jun 11 2020,106, 77
Jun 10 2020,65, 77
Jun 9 2020,49, 83
Jun 8 2020,201, 93
Jun 7 2020,0, 73
Jun 6 2020,0, 89
Jun 5 2020,116, 115
Jun 4 2020,106, 119
Jun 3 2020,107, 124
Jun 2 2020,121, 129
Jun 1 2020,63, 132
May 31 2020,109, 123
May 30 2020,184, 124
May 29 2020,141, 128
May 28 2020,141, 132
May 27 2020,143, 142
May 26 2020,145, 180
May 25 2020,0, 181
May 24 2020,113, 199
May 23 2020,216, 217
May 22 2020,165, 217
May 21 2020,215, 222
May 20 2020,405, 217
May 19 2020,156, 191
May 18 2020,121, 192
May 17 2020,240, 200
May 16 2020,215, 206
May 15 2020,203, 206
May 14 2020,181, 212
May 13 2020,221, 233
May 12 2020,164, 240
May 11 2020,176, 257
May 10 2020,285, 257
May 9 2020,210, 243
May 8 2020,249, 260
May 7 2020,325, 273
May 6 2020,272, 280
May 5 2020,281, 287
May 4 2020,175, 278
May 3 2020,188, 291
May 2 2020,327, 309
May 1 2020,341, 323
Apr 30 2020,374, 338
Apr 29 2020,321, 319
Apr 28 2020,218, 316
Apr 27 2020,269, 374
Apr 26 2020,310, 390
Apr 25 2020,430, 377
Apr 24 2020,443, 360
Apr 23 2020,244, 327
Apr 22 2020,296, 355
Apr 21 2020,626, 335
Apr 20 2020,384, 302
Apr 19 2020,215, 292
Apr 18 2020,314, 306
Apr 17 2020,208, 309
Apr 16 2020,440, 290
Apr 15 2020,160, 297
Apr 14 2020,393, 279
Apr 13 2020,311, 258
Apr 12 2020,316, 249
Apr 11 2020,334, 220
Apr 10 2020,76, 186
Apr 9 2020,489, 180
Apr 8 2020,36, 126
Apr 7 2020,244, 128
Apr 6 2020,248, 99
Apr 5 2020,116, 90
Apr 4 2020,95, 81
Apr 3 2020,30, 73
Apr 2 2020,115, 70
Apr 1 2020,46, 62
Mar 31 2020,41, 57
Mar 30 2020,185, 53
Mar 29 2020,55, 28
Mar 28 2020,36, 25
Mar 27 2020,15, 21
Mar 26 2020,56, 21
Mar 25 2020,8, 14
Mar 24 2020,18, 14
Mar 23 2020,9, 12
Mar 22 2020,31, 11
Mar 21 2020,12, 8
Mar 20 2020,10, 7
Mar 19 2020,11, 6
Mar 18 2020,10, 4
Mar 17 2020,0, 3
Mar 16 2020,2, 3
Mar 15 2020,12, 3
Mar 14 2020,4, 1
Mar 13 2020,0, 0
Mar 12 2020,0, 0
Mar 11 2020,0, 0
Mar 10 2020,2, 0
Mar 9 2020,0, 0
Mar 8 2020,0, 0
Mar 7 2020,1, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,1, 0
Mar 1 2020,1, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
