Rate per 100000 Trends - Rhode Island
Date generated: Thu Jul 30 2020 21:30:01 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,1778, 
Jul 28 2020,1771, 
Jul 27 2020,1751, 
Jul 26 2020,1724, 
Jul 25 2020,1724, 
Jul 24 2020,1724, 
Jul 23 2020,1716, 
Jul 22 2020,1708, 
Jul 21 2020,1701, 
Jul 20 2020,1693, 
Jul 19 2020,1683, 
Jul 18 2020,1683, 
Jul 17 2020,1683, 
Jul 16 2020,1675, 
Jul 15 2020,1668, 
Jul 14 2020,1654, 
Jul 13 2020,1654, 
Jul 12 2020,1637, 
Jul 11 2020,1637, 
Jul 10 2020,1637, 
Jul 9 2020,1631, 
Jul 8 2020,1627, 
Jul 7 2020,1622, 
Jul 6 2020,1607, 
Jul 5 2020,1607, 
Jul 4 2020,1607, 
Jul 3 2020,1607, 
Jul 2 2020,1602, 
Jul 1 2020,1594, 
Jun 30 2020,1590, 
Jun 29 2020,1586, 
Jun 28 2020,1576, 
Jun 27 2020,1576, 
Jun 26 2020,1576, 
Jun 25 2020,1574, 
Jun 24 2020,1571, 
Jun 23 2020,1564, 
Jun 22 2020,1557, 
Jun 21 2020,1545, 
Jun 20 2020,1545, 
Jun 19 2020,1545, 
Jun 18 2020,1539, 
Jun 17 2020,1533, 
Jun 16 2020,1529, 
Jun 15 2020,1522, 
Jun 14 2020,1508, 
Jun 13 2020,1508, 
Jun 12 2020,1508, 
Jun 11 2020,1500, 
Jun 10 2020,1490, 
Jun 9 2020,1484, 
Jun 8 2020,1479, 
Jun 7 2020,1460, 
Jun 6 2020,1460, 
Jun 5 2020,1460, 
Jun 4 2020,1449, 
Jun 3 2020,1439, 
Jun 2 2020,1429, 
Jun 1 2020,1418, 
May 31 2020,1412, 
May 30 2020,1402, 
May 29 2020,1384, 
May 28 2020,1371, 
May 27 2020,1358, 
May 26 2020,1344, 
May 25 2020,1330, 
May 24 2020,1330, 
May 23 2020,1320, 
May 22 2020,1299, 
May 21 2020,1284, 
May 20 2020,1263, 
May 19 2020,1225, 
May 18 2020,1210, 
May 17 2020,1199, 
May 16 2020,1176, 
May 15 2020,1156, 
May 14 2020,1137, 
May 13 2020,1119, 
May 12 2020,1098, 
May 11 2020,1083, 
May 10 2020,1066, 
May 9 2020,1039, 
May 8 2020,1020, 
May 7 2020,996, 
May 6 2020,965, 
May 5 2020,940, 
May 4 2020,913, 
May 3 2020,896, 
May 2 2020,879, 
May 1 2020,848, 
Apr 30 2020,815, 
Apr 29 2020,780, 
Apr 28 2020,750, 
Apr 27 2020,729, 
Apr 26 2020,704, 
Apr 25 2020,674, 
Apr 24 2020,634, 
Apr 23 2020,592, 
Apr 22 2020,569, 
Apr 21 2020,541, 
Apr 20 2020,481, 
Apr 19 2020,445, 
Apr 18 2020,425, 
Apr 17 2020,395, 
Apr 16 2020,375, 
Apr 15 2020,334, 
Apr 14 2020,319, 
Apr 13 2020,282, 
Apr 12 2020,252, 
Apr 11 2020,222, 
Apr 10 2020,191, 
Apr 9 2020,183, 
Apr 8 2020,137, 
Apr 7 2020,134, 
Apr 6 2020,111, 
Apr 5 2020,87, 
Apr 4 2020,76, 
Apr 3 2020,67, 
Apr 2 2020,64, 
Apr 1 2020,54, 
Mar 31 2020,49, 
Mar 30 2020,45, 
Mar 29 2020,28, 
Mar 28 2020,23, 
Mar 27 2020,19, 
Mar 26 2020,18, 
Mar 25 2020,13, 
Mar 24 2020,12, 
Mar 23 2020,10, 
Mar 22 2020,9, 
Mar 21 2020,6, 
Mar 20 2020,5, 
Mar 19 2020,4, 
Mar 18 2020,3, 
Mar 17 2020,2, 
Mar 16 2020,2, 
Mar 15 2020,2, 
Mar 14 2020,1, 
Mar 13 2020,1, 
Mar 12 2020,1, 
Mar 11 2020,1, 
Mar 10 2020,1, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
