Total Cases Trends - Rhode Island
Date generated: Thu Jul 30 2020 21:29:56 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,18800, 
Jul 28 2020,18725, 
Jul 27 2020,18515, 
Jul 26 2020,18224, 
Jul 25 2020,18224, 
Jul 24 2020,18224, 
Jul 23 2020,18148, 
Jul 22 2020,18062, 
Jul 21 2020,17986, 
Jul 20 2020,17904, 
Jul 19 2020,17793, 
Jul 18 2020,17793, 
Jul 17 2020,17793, 
Jul 16 2020,17711, 
Jul 15 2020,17640, 
Jul 14 2020,17487, 
Jul 13 2020,17487, 
Jul 12 2020,17312, 
Jul 11 2020,17312, 
Jul 10 2020,17312, 
Jul 9 2020,17243, 
Jul 8 2020,17204, 
Jul 7 2020,17154, 
Jul 6 2020,16991, 
Jul 5 2020,16991, 
Jul 4 2020,16991, 
Jul 3 2020,16991, 
Jul 2 2020,16941, 
Jul 1 2020,16853, 
Jun 30 2020,16813, 
Jun 29 2020,16764, 
Jun 28 2020,16661, 
Jun 27 2020,16661, 
Jun 26 2020,16661, 
Jun 25 2020,16640, 
Jun 24 2020,16606, 
Jun 23 2020,16533, 
Jun 22 2020,16459, 
Jun 21 2020,16337, 
Jun 20 2020,16337, 
Jun 19 2020,16337, 
Jun 18 2020,16269, 
Jun 17 2020,16213, 
Jun 16 2020,16164, 
Jun 15 2020,16093, 
Jun 14 2020,15947, 
Jun 13 2020,15947, 
Jun 12 2020,15947, 
Jun 11 2020,15862, 
Jun 10 2020,15756, 
Jun 9 2020,15691, 
Jun 8 2020,15642, 
Jun 7 2020,15441, 
Jun 6 2020,15441, 
Jun 5 2020,15441, 
Jun 4 2020,15325, 
Jun 3 2020,15219, 
Jun 2 2020,15112, 
Jun 1 2020,14991, 
May 31 2020,14928, 
May 30 2020,14819, 
May 29 2020,14635, 
May 28 2020,14494, 
May 27 2020,14353, 
May 26 2020,14210, 
May 25 2020,14065, 
May 24 2020,14065, 
May 23 2020,13952, 
May 22 2020,13736, 
May 21 2020,13571, 
May 20 2020,13356, 
May 19 2020,12951, 
May 18 2020,12795, 
May 17 2020,12674, 
May 16 2020,12434, 
May 15 2020,12219, 
May 14 2020,12016, 
May 13 2020,11835, 
May 12 2020,11614, 
May 11 2020,11450, 
May 10 2020,11274, 
May 9 2020,10989, 
May 8 2020,10779, 
May 7 2020,10530, 
May 6 2020,10205, 
May 5 2020,9933, 
May 4 2020,9652, 
May 3 2020,9477, 
May 2 2020,9289, 
May 1 2020,8962, 
Apr 30 2020,8621, 
Apr 29 2020,8247, 
Apr 28 2020,7926, 
Apr 27 2020,7708, 
Apr 26 2020,7439, 
Apr 25 2020,7129, 
Apr 24 2020,6699, 
Apr 23 2020,6256, 
Apr 22 2020,6012, 
Apr 21 2020,5716, 
Apr 20 2020,5090, 
Apr 19 2020,4706, 
Apr 18 2020,4491, 
Apr 17 2020,4177, 
Apr 16 2020,3969, 
Apr 15 2020,3529, 
Apr 14 2020,3369, 
Apr 13 2020,2976, 
Apr 12 2020,2665, 
Apr 11 2020,2349, 
Apr 10 2020,2015, 
Apr 9 2020,1939, 
Apr 8 2020,1450, 
Apr 7 2020,1414, 
Apr 6 2020,1170, 
Apr 5 2020,922, 
Apr 4 2020,806, 
Apr 3 2020,711, 
Apr 2 2020,681, 
Apr 1 2020,566, 
Mar 31 2020,520, 
Mar 30 2020,479, 
Mar 29 2020,294, 
Mar 28 2020,239, 
Mar 27 2020,203, 
Mar 26 2020,188, 
Mar 25 2020,132, 
Mar 24 2020,124, 
Mar 23 2020,106, 
Mar 22 2020,97, 
Mar 21 2020,66, 
Mar 20 2020,54, 
Mar 19 2020,44, 
Mar 18 2020,33, 
Mar 17 2020,23, 
Mar 16 2020,23, 
Mar 15 2020,21, 
Mar 14 2020,9, 
Mar 13 2020,5, 
Mar 12 2020,5, 
Mar 11 2020,5, 
Mar 10 2020,5, 
Mar 9 2020,3, 
Mar 8 2020,3, 
Mar 7 2020,3, 
Mar 6 2020,2, 
Mar 5 2020,2, 
Mar 4 2020,2, 
Mar 3 2020,2, 
Mar 2 2020,2, 
Mar 1 2020,1, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
