Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,149,81,8641,979
Jul 28 2020,48,68,8492,963
Jul 27 2020,49,72,8444,957
Jul 26 2020,90,70,8395,952
Jul 25 2020,105,63,8305,941
Jul 24 2020,57,59,8200,930
Jul 23 2020,66,64,8143,923
Jul 22 2020,58,61,8077,916
Jul 21 2020,76,64,8019,909
Jul 20 2020,37,60,7943,900
Jul 19 2020,44,58,7906,896
Jul 18 2020,73,58,7862,891
Jul 17 2020,95,55,7789,883
Jul 16 2020,42,51,7694,872
Jul 15 2020,80,59,7652,867
Jul 14 2020,48,58,7572,858
Jul 13 2020,25,60,7524,853
Jul 12 2020,45,62,7499,850
Jul 11 2020,53,61,7454,845
Jul 10 2020,65,60,7401,839
Jul 9 2020,94,63,7336,832
Jul 8 2020,79,59,7242,821
Jul 7 2020,58,57,7163,812
Jul 6 2020,42,56,7105,805
Jul 5 2020,35,55,7063,801
Jul 4 2020,50,57,7028,797
Jul 3 2020,85,63,6978,791
Jul 2 2020,67,59,6893,781
Jul 1 2020,62,58,6826,774
Jun 30 2020,48,59,6764,767
Jun 29 2020,35,56,6716,761
Jun 28 2020,55,55,6681,757
Jun 27 2020,91,57,6626,751
Jun 26 2020,56,54,6535,741
Jun 25 2020,60,53,6479,734
Jun 24 2020,66,53,6419,728
Jun 23 2020,27,55,6353,720
Jun 22 2020,29,57,6326,717
Jun 21 2020,72,57,6297,714
Jun 20 2020,67,56,6225,706
Jun 19 2020,49,59,6158,698
Jun 18 2020,59,63,6109,692
Jun 17 2020,84,64,6050,686
Jun 16 2020,38,63,5966,676
Jun 15 2020,30,65,5928,672
Jun 14 2020,65,66,5898,669
Jun 13 2020,91,67,5833,661
Jun 12 2020,77,66,5742,651
Jun 11 2020,61,60,5665,642
Jun 10 2020,81,63,5604,635
Jun 9 2020,52,65,5523,626
Jun 8 2020,33,62,5471,620
Jun 7 2020,71,64,5438,616
Jun 6 2020,90,58,5367,608
Jun 5 2020,30,59,5277,598
Jun 4 2020,85,65,5247,595
Jun 3 2020,95,65,5162,585
Jun 2 2020,33,59,5067,574
Jun 1 2020,41,64,5034,571
May 31 2020,33,61,4993,566
May 30 2020,94,70,4960,562
May 29 2020,73,73,4866,552
May 28 2020,83,78,4793,543
May 27 2020,57,76,4710,534
May 26 2020,67,81,4653,527
May 25 2020,23,80,4586,520
May 24 2020,95,82,4563,517
May 23 2020,112,73,4468,506
May 22 2020,106,67,4356,494
May 21 2020,73,65,4250,482
May 20 2020,92,64,4177,474
May 19 2020,58,60,4085,463
May 18 2020,40,59,4027,457
May 17 2020,28,67,3987,452
May 16 2020,72,81,3959,449
May 15 2020,95,106,3887,441
May 14 2020,60,127,3792,430
May 13 2020,69,136,3732,423
May 12 2020,49,135,3663,415
May 11 2020,97,135,3614,410
May 10 2020,124,127,3517,399
May 9 2020,249,115,3393,385
May 8 2020,239,88,3144,356
May 7 2020,126,65,2905,329
May 6 2020,58,58,2779,315
May 5 2020,53,58,2721,308
May 4 2020,37,60,2668,302
May 3 2020,43,60,2631,298
May 2 2020,63,63,2588,293
May 1 2020,76,69,2525,286
Apr 30 2020,76,70,2449,278
Apr 29 2020,60,74,2373,269
Apr 28 2020,68,80,2313,262
Apr 27 2020,33,80,2245,255
Apr 26 2020,65,82,2212,251
Apr 25 2020,107,86,2147,243
Apr 24 2020,84,90,2040,231
Apr 23 2020,98,92,1956,222
Apr 22 2020,104,99,1858,211
Apr 21 2020,69,84,1754,199
Apr 20 2020,50,117,1685,191
Apr 19 2020,93,129,1635,185
Apr 18 2020,131,131,1542,175
Apr 17 2020,100,125,1411,160
Apr 16 2020,143,123,1311,149
Apr 15 2020,0,111,1168,132
Apr 14 2020,300,121,1168,132
Apr 13 2020,138,83,868,98
Apr 12 2020,104,70,730,83
Apr 11 2020,90,59,626,71
Apr 10 2020,89,50,536,61
Apr 9 2020,54,40,447,51
Apr 8 2020,73,38,393,45
Apr 7 2020,32,30,320,36
Apr 6 2020,48,27,288,33
Apr 5 2020,28,21,240,27
Apr 4 2020,25,21,212,24
Apr 3 2020,22,18,187,21
Apr 2 2020,36,17,165,19
Apr 1 2020,21,13,129,15
Mar 31 2020,7,11,108,12
Mar 30 2020,11,10,101,11
Mar 29 2020,22,10,90,10
Mar 28 2020,10,8,68,8
Mar 27 2020,12,6,58,7
Mar 26 2020,5,5,46,5
Mar 25 2020,11,4,41,5
Mar 24 2020,2,3,30,3
Mar 23 2020,7,3,28,3
Mar 22 2020,7,2,21,2
Mar 21 2020,0,1,14,2
Mar 20 2020,0,1,14,2
Mar 19 2020,3,1,14,2
Mar 18 2020,0,0,11,1
Mar 17 2020,1,1,11,1
Mar 16 2020,1,1,10,1
Mar 15 2020,0,1,9,1
Mar 14 2020,0,1,9,1
Mar 13 2020,1,1,9,1
Mar 12 2020,0,1,8,1
Mar 11 2020,3,1,8,1
Mar 10 2020,5,1,5,1
Mar 9 2020,0,0,0,0
Mar 8 2020,0,0,0,0
Mar 7 2020,0,0,0,0
Mar 6 2020,0,0,0,0
Mar 5 2020,0,0,0,0
Mar 4 2020,0,0,0,0
Mar 3 2020,0,0,0,0
Mar 2 2020,0,0,0,0
Mar 1 2020,0,0,0,0
Feb 29 2020,0,0,0,0
Feb 28 2020,0,0,0,0
