New Case Trends - South Dakota
Date generated: Thu Jul 30 2020 22:04:24 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,149, 81
Jul 28 2020,48, 68
Jul 27 2020,49, 72
Jul 26 2020,90, 70
Jul 25 2020,105, 63
Jul 24 2020,57, 59
Jul 23 2020,66, 64
Jul 22 2020,58, 61
Jul 21 2020,76, 64
Jul 20 2020,37, 60
Jul 19 2020,44, 58
Jul 18 2020,73, 58
Jul 17 2020,95, 55
Jul 16 2020,42, 51
Jul 15 2020,80, 59
Jul 14 2020,48, 58
Jul 13 2020,25, 60
Jul 12 2020,45, 62
Jul 11 2020,53, 61
Jul 10 2020,65, 60
Jul 9 2020,94, 63
Jul 8 2020,79, 59
Jul 7 2020,58, 57
Jul 6 2020,42, 56
Jul 5 2020,35, 55
Jul 4 2020,50, 57
Jul 3 2020,85, 63
Jul 2 2020,67, 59
Jul 1 2020,62, 58
Jun 30 2020,48, 59
Jun 29 2020,35, 56
Jun 28 2020,55, 55
Jun 27 2020,91, 57
Jun 26 2020,56, 54
Jun 25 2020,60, 53
Jun 24 2020,66, 53
Jun 23 2020,27, 55
Jun 22 2020,29, 57
Jun 21 2020,72, 57
Jun 20 2020,67, 56
Jun 19 2020,49, 59
Jun 18 2020,59, 63
Jun 17 2020,84, 64
Jun 16 2020,38, 63
Jun 15 2020,30, 65
Jun 14 2020,65, 66
Jun 13 2020,91, 67
Jun 12 2020,77, 66
Jun 11 2020,61, 60
Jun 10 2020,81, 63
Jun 9 2020,52, 65
Jun 8 2020,33, 62
Jun 7 2020,71, 64
Jun 6 2020,90, 58
Jun 5 2020,30, 59
Jun 4 2020,85, 65
Jun 3 2020,95, 65
Jun 2 2020,33, 59
Jun 1 2020,41, 64
May 31 2020,33, 61
May 30 2020,94, 70
May 29 2020,73, 73
May 28 2020,83, 78
May 27 2020,57, 76
May 26 2020,67, 81
May 25 2020,23, 80
May 24 2020,95, 82
May 23 2020,112, 73
May 22 2020,106, 67
May 21 2020,73, 65
May 20 2020,92, 64
May 19 2020,58, 60
May 18 2020,40, 59
May 17 2020,28, 67
May 16 2020,72, 81
May 15 2020,95, 106
May 14 2020,60, 127
May 13 2020,69, 136
May 12 2020,49, 135
May 11 2020,97, 135
May 10 2020,124, 127
May 9 2020,249, 115
May 8 2020,239, 88
May 7 2020,126, 65
May 6 2020,58, 58
May 5 2020,53, 58
May 4 2020,37, 60
May 3 2020,43, 60
May 2 2020,63, 63
May 1 2020,76, 69
Apr 30 2020,76, 70
Apr 29 2020,60, 74
Apr 28 2020,68, 80
Apr 27 2020,33, 80
Apr 26 2020,65, 82
Apr 25 2020,107, 86
Apr 24 2020,84, 90
Apr 23 2020,98, 92
Apr 22 2020,104, 99
Apr 21 2020,69, 84
Apr 20 2020,50, 117
Apr 19 2020,93, 129
Apr 18 2020,131, 131
Apr 17 2020,100, 125
Apr 16 2020,143, 123
Apr 15 2020,0, 111
Apr 14 2020,300, 121
Apr 13 2020,138, 83
Apr 12 2020,104, 70
Apr 11 2020,90, 59
Apr 10 2020,89, 50
Apr 9 2020,54, 40
Apr 8 2020,73, 38
Apr 7 2020,32, 30
Apr 6 2020,48, 27
Apr 5 2020,28, 21
Apr 4 2020,25, 21
Apr 3 2020,22, 18
Apr 2 2020,36, 17
Apr 1 2020,21, 13
Mar 31 2020,7, 11
Mar 30 2020,11, 10
Mar 29 2020,22, 10
Mar 28 2020,10, 8
Mar 27 2020,12, 6
Mar 26 2020,5, 5
Mar 25 2020,11, 4
Mar 24 2020,2, 3
Mar 23 2020,7, 3
Mar 22 2020,7, 2
Mar 21 2020,0, 1
Mar 20 2020,0, 1
Mar 19 2020,3, 1
Mar 18 2020,0, 0
Mar 17 2020,1, 1
Mar 16 2020,1, 1
Mar 15 2020,0, 1
Mar 14 2020,0, 1
Mar 13 2020,1, 1
Mar 12 2020,0, 1
Mar 11 2020,3, 1
Mar 10 2020,5, 1
Mar 9 2020,0, 0
Mar 8 2020,0, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
