Rate per 100000 Trends - South Dakota
Date generated: Thu Jul 30 2020 22:04:51 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,979, 
Jul 28 2020,963, 
Jul 27 2020,957, 
Jul 26 2020,952, 
Jul 25 2020,941, 
Jul 24 2020,930, 
Jul 23 2020,923, 
Jul 22 2020,916, 
Jul 21 2020,909, 
Jul 20 2020,900, 
Jul 19 2020,896, 
Jul 18 2020,891, 
Jul 17 2020,883, 
Jul 16 2020,872, 
Jul 15 2020,867, 
Jul 14 2020,858, 
Jul 13 2020,853, 
Jul 12 2020,850, 
Jul 11 2020,845, 
Jul 10 2020,839, 
Jul 9 2020,832, 
Jul 8 2020,821, 
Jul 7 2020,812, 
Jul 6 2020,805, 
Jul 5 2020,801, 
Jul 4 2020,797, 
Jul 3 2020,791, 
Jul 2 2020,781, 
Jul 1 2020,774, 
Jun 30 2020,767, 
Jun 29 2020,761, 
Jun 28 2020,757, 
Jun 27 2020,751, 
Jun 26 2020,741, 
Jun 25 2020,734, 
Jun 24 2020,728, 
Jun 23 2020,720, 
Jun 22 2020,717, 
Jun 21 2020,714, 
Jun 20 2020,706, 
Jun 19 2020,698, 
Jun 18 2020,692, 
Jun 17 2020,686, 
Jun 16 2020,676, 
Jun 15 2020,672, 
Jun 14 2020,669, 
Jun 13 2020,661, 
Jun 12 2020,651, 
Jun 11 2020,642, 
Jun 10 2020,635, 
Jun 9 2020,626, 
Jun 8 2020,620, 
Jun 7 2020,616, 
Jun 6 2020,608, 
Jun 5 2020,598, 
Jun 4 2020,595, 
Jun 3 2020,585, 
Jun 2 2020,574, 
Jun 1 2020,571, 
May 31 2020,566, 
May 30 2020,562, 
May 29 2020,552, 
May 28 2020,543, 
May 27 2020,534, 
May 26 2020,527, 
May 25 2020,520, 
May 24 2020,517, 
May 23 2020,506, 
May 22 2020,494, 
May 21 2020,482, 
May 20 2020,474, 
May 19 2020,463, 
May 18 2020,457, 
May 17 2020,452, 
May 16 2020,449, 
May 15 2020,441, 
May 14 2020,430, 
May 13 2020,423, 
May 12 2020,415, 
May 11 2020,410, 
May 10 2020,399, 
May 9 2020,385, 
May 8 2020,356, 
May 7 2020,329, 
May 6 2020,315, 
May 5 2020,308, 
May 4 2020,302, 
May 3 2020,298, 
May 2 2020,293, 
May 1 2020,286, 
Apr 30 2020,278, 
Apr 29 2020,269, 
Apr 28 2020,262, 
Apr 27 2020,255, 
Apr 26 2020,251, 
Apr 25 2020,243, 
Apr 24 2020,231, 
Apr 23 2020,222, 
Apr 22 2020,211, 
Apr 21 2020,199, 
Apr 20 2020,191, 
Apr 19 2020,185, 
Apr 18 2020,175, 
Apr 17 2020,160, 
Apr 16 2020,149, 
Apr 15 2020,132, 
Apr 14 2020,132, 
Apr 13 2020,98, 
Apr 12 2020,83, 
Apr 11 2020,71, 
Apr 10 2020,61, 
Apr 9 2020,51, 
Apr 8 2020,45, 
Apr 7 2020,36, 
Apr 6 2020,33, 
Apr 5 2020,27, 
Apr 4 2020,24, 
Apr 3 2020,21, 
Apr 2 2020,19, 
Apr 1 2020,15, 
Mar 31 2020,12, 
Mar 30 2020,11, 
Mar 29 2020,10, 
Mar 28 2020,8, 
Mar 27 2020,7, 
Mar 26 2020,5, 
Mar 25 2020,5, 
Mar 24 2020,3, 
Mar 23 2020,3, 
Mar 22 2020,2, 
Mar 21 2020,2, 
Mar 20 2020,2, 
Mar 19 2020,2, 
Mar 18 2020,1, 
Mar 17 2020,1, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,1, 
Mar 13 2020,1, 
Mar 12 2020,1, 
Mar 11 2020,1, 
Mar 10 2020,1, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
