Total Cases Trends - South Dakota
Date generated: Thu Jul 30 2020 22:04:41 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,8641, 
Jul 28 2020,8492, 
Jul 27 2020,8444, 
Jul 26 2020,8395, 
Jul 25 2020,8305, 
Jul 24 2020,8200, 
Jul 23 2020,8143, 
Jul 22 2020,8077, 
Jul 21 2020,8019, 
Jul 20 2020,7943, 
Jul 19 2020,7906, 
Jul 18 2020,7862, 
Jul 17 2020,7789, 
Jul 16 2020,7694, 
Jul 15 2020,7652, 
Jul 14 2020,7572, 
Jul 13 2020,7524, 
Jul 12 2020,7499, 
Jul 11 2020,7454, 
Jul 10 2020,7401, 
Jul 9 2020,7336, 
Jul 8 2020,7242, 
Jul 7 2020,7163, 
Jul 6 2020,7105, 
Jul 5 2020,7063, 
Jul 4 2020,7028, 
Jul 3 2020,6978, 
Jul 2 2020,6893, 
Jul 1 2020,6826, 
Jun 30 2020,6764, 
Jun 29 2020,6716, 
Jun 28 2020,6681, 
Jun 27 2020,6626, 
Jun 26 2020,6535, 
Jun 25 2020,6479, 
Jun 24 2020,6419, 
Jun 23 2020,6353, 
Jun 22 2020,6326, 
Jun 21 2020,6297, 
Jun 20 2020,6225, 
Jun 19 2020,6158, 
Jun 18 2020,6109, 
Jun 17 2020,6050, 
Jun 16 2020,5966, 
Jun 15 2020,5928, 
Jun 14 2020,5898, 
Jun 13 2020,5833, 
Jun 12 2020,5742, 
Jun 11 2020,5665, 
Jun 10 2020,5604, 
Jun 9 2020,5523, 
Jun 8 2020,5471, 
Jun 7 2020,5438, 
Jun 6 2020,5367, 
Jun 5 2020,5277, 
Jun 4 2020,5247, 
Jun 3 2020,5162, 
Jun 2 2020,5067, 
Jun 1 2020,5034, 
May 31 2020,4993, 
May 30 2020,4960, 
May 29 2020,4866, 
May 28 2020,4793, 
May 27 2020,4710, 
May 26 2020,4653, 
May 25 2020,4586, 
May 24 2020,4563, 
May 23 2020,4468, 
May 22 2020,4356, 
May 21 2020,4250, 
May 20 2020,4177, 
May 19 2020,4085, 
May 18 2020,4027, 
May 17 2020,3987, 
May 16 2020,3959, 
May 15 2020,3887, 
May 14 2020,3792, 
May 13 2020,3732, 
May 12 2020,3663, 
May 11 2020,3614, 
May 10 2020,3517, 
May 9 2020,3393, 
May 8 2020,3144, 
May 7 2020,2905, 
May 6 2020,2779, 
May 5 2020,2721, 
May 4 2020,2668, 
May 3 2020,2631, 
May 2 2020,2588, 
May 1 2020,2525, 
Apr 30 2020,2449, 
Apr 29 2020,2373, 
Apr 28 2020,2313, 
Apr 27 2020,2245, 
Apr 26 2020,2212, 
Apr 25 2020,2147, 
Apr 24 2020,2040, 
Apr 23 2020,1956, 
Apr 22 2020,1858, 
Apr 21 2020,1754, 
Apr 20 2020,1685, 
Apr 19 2020,1635, 
Apr 18 2020,1542, 
Apr 17 2020,1411, 
Apr 16 2020,1311, 
Apr 15 2020,1168, 
Apr 14 2020,1168, 
Apr 13 2020,868, 
Apr 12 2020,730, 
Apr 11 2020,626, 
Apr 10 2020,536, 
Apr 9 2020,447, 
Apr 8 2020,393, 
Apr 7 2020,320, 
Apr 6 2020,288, 
Apr 5 2020,240, 
Apr 4 2020,212, 
Apr 3 2020,187, 
Apr 2 2020,165, 
Apr 1 2020,129, 
Mar 31 2020,108, 
Mar 30 2020,101, 
Mar 29 2020,90, 
Mar 28 2020,68, 
Mar 27 2020,58, 
Mar 26 2020,46, 
Mar 25 2020,41, 
Mar 24 2020,30, 
Mar 23 2020,28, 
Mar 22 2020,21, 
Mar 21 2020,14, 
Mar 20 2020,14, 
Mar 19 2020,14, 
Mar 18 2020,11, 
Mar 17 2020,11, 
Mar 16 2020,10, 
Mar 15 2020,9, 
Mar 14 2020,9, 
Mar 13 2020,9, 
Mar 12 2020,8, 
Mar 11 2020,8, 
Mar 10 2020,5, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
