Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,1,6,1406,225
Jul 28 2020,3,6,1405,224
Jul 27 2020,2,6,1402,224
Jul 26 2020,4,7,1400,224
Jul 25 2020,11,8,1396,223
Jul 24 2020,8,7,1385,221
Jul 23 2020,11,7,1377,220
Jul 22 2020,0,7,1366,218
Jul 21 2020,6,9,1366,218
Jul 20 2020,10,8,1360,217
Jul 19 2020,12,8,1350,216
Jul 18 2020,4,8,1338,214
Jul 17 2020,9,7,1334,213
Jul 16 2020,7,8,1325,212
Jul 15 2020,13,9,1318,210
Jul 14 2020,4,7,1305,208
Jul 13 2020,5,7,1301,208
Jul 12 2020,13,6,1296,207
Jul 11 2020,0,6,1283,205
Jul 10 2020,11,6,1283,205
Jul 9 2020,16,6,1272,203
Jul 8 2020,2,7,1256,201
Jul 7 2020,3,7,1254,200
Jul 6 2020,0,6,1251,200
Jul 5 2020,13,7,1251,200
Jul 4 2020,0,5,1238,198
Jul 3 2020,11,6,1238,198
Jul 2 2020,17,5,1227,196
Jul 1 2020,2,4,1210,193
Jun 30 2020,0,6,1208,193
Jun 29 2020,6,6,1208,193
Jun 28 2020,2,6,1202,192
Jun 27 2020,2,8,1200,192
Jun 26 2020,7,8,1198,191
Jun 25 2020,7,8,1191,190
Jun 24 2020,20,8,1184,189
Jun 23 2020,1,5,1164,186
Jun 22 2020,4,5,1163,186
Jun 21 2020,12,5,1159,185
Jun 20 2020,3,3,1147,183
Jun 19 2020,9,4,1144,183
Jun 18 2020,6,4,1135,181
Jun 17 2020,0,5,1129,180
Jun 16 2020,2,7,1130,180
Jun 15 2020,1,8,1128,180
Jun 14 2020,2,9,1127,180
Jun 13 2020,6,11,1125,180
Jun 12 2020,10,13,1119,179
Jun 11 2020,15,12,1109,177
Jun 10 2020,10,15,1094,175
Jun 9 2020,9,14,1084,173
Jun 8 2020,12,13,1075,172
Jun 7 2020,18,12,1063,170
Jun 6 2020,18,10,1045,167
Jun 5 2020,2,7,1027,164
Jun 4 2020,35,7,1025,164
Jun 3 2020,2,3,990,158
Jun 2 2020,5,3,988,158
Jun 1 2020,2,3,983,157
May 31 2020,4,4,981,157
May 30 2020,2,3,977,156
May 29 2020,1,3,975,156
May 28 2020,3,3,974,156
May 27 2020,4,4,971,155
May 26 2020,5,3,967,154
