New Case Trends - Vermont
Date generated: Thu Jul 30 2020 22:05:46 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,1, 6
Jul 28 2020,3, 6
Jul 27 2020,2, 6
Jul 26 2020,4, 7
Jul 25 2020,11, 8
Jul 24 2020,8, 7
Jul 23 2020,11, 7
Jul 22 2020,0, 7
Jul 21 2020,6, 9
Jul 20 2020,10, 8
Jul 19 2020,12, 8
Jul 18 2020,4, 8
Jul 17 2020,9, 7
Jul 16 2020,7, 8
Jul 15 2020,13, 9
Jul 14 2020,4, 7
Jul 13 2020,5, 7
Jul 12 2020,13, 6
Jul 11 2020,0, 6
Jul 10 2020,11, 6
Jul 9 2020,16, 6
Jul 8 2020,2, 7
Jul 7 2020,3, 7
Jul 6 2020,0, 6
Jul 5 2020,13, 7
Jul 4 2020,0, 5
Jul 3 2020,11, 6
Jul 2 2020,17, 5
Jul 1 2020,2, 4
Jun 30 2020,0, 6
Jun 29 2020,6, 6
Jun 28 2020,2, 6
Jun 27 2020,2, 8
Jun 26 2020,7, 8
Jun 25 2020,7, 8
Jun 24 2020,20, 8
Jun 23 2020,1, 5
Jun 22 2020,4, 5
Jun 21 2020,12, 5
Jun 20 2020,3, 3
Jun 19 2020,9, 4
Jun 18 2020,6, 4
Jun 17 2020,0, 5
Jun 16 2020,2, 7
Jun 15 2020,1, 8
Jun 14 2020,2, 9
Jun 13 2020,6, 11
Jun 12 2020,10, 13
Jun 11 2020,15, 12
Jun 10 2020,10, 15
Jun 9 2020,9, 14
Jun 8 2020,12, 13
Jun 7 2020,18, 12
Jun 6 2020,18, 10
Jun 5 2020,2, 7
Jun 4 2020,35, 7
Jun 3 2020,2, 3
Jun 2 2020,5, 3
Jun 1 2020,2, 3
May 31 2020,4, 4
May 30 2020,2, 3
May 29 2020,1, 3
May 28 2020,3, 3
May 27 2020,4, 4
May 26 2020,5, 3
May 25 2020,6, 3
May 24 2020,2, 2
May 23 2020,2, 3
May 22 2020,2, 3
May 21 2020,5, 3
May 20 2020,1, 2
May 19 2020,4, 3
May 18 2020,0, 2
May 17 2020,8, 2
May 16 2020,0, 2
May 15 2020,0, 2
May 14 2020,4, 3
May 13 2020,2, 3
May 12 2020,1, 3
May 11 2020,0, 4
May 10 2020,6, 4
May 9 2020,3, 5
May 8 2020,2, 6
May 7 2020,8, 7
May 6 2020,2, 7
May 5 2020,4, 6
May 4 2020,5, 7
May 3 2020,11, 7
May 2 2020,7, 6
May 1 2020,13, 7
Apr 30 2020,4, 6
Apr 29 2020,0, 6
Apr 28 2020,7, 6
Apr 27 2020,4, 6
Apr 26 2020,8, 6
Apr 25 2020,16, 6
Apr 24 2020,2, 7
Apr 23 2020,2, 8
Apr 22 2020,5, 9
Apr 21 2020,2, 10
Apr 20 2020,4, 10
Apr 19 2020,9, 12
Apr 18 2020,24, 13
Apr 17 2020,11, 14
Apr 16 2020,9, 20
Apr 15 2020,9, 22
Apr 14 2020,2, 25
Apr 13 2020,21, 29
Apr 12 2020,16, 31
Apr 11 2020,32, 36
Apr 10 2020,51, 41
Apr 9 2020,23, 41
Apr 8 2020,30, 41
Apr 7 2020,32, 40
Apr 6 2020,31, 41
Apr 5 2020,51, 40
Apr 4 2020,72, 36
Apr 3 2020,51, 29
Apr 2 2020,17, 26
Apr 1 2020,28, 28
Mar 31 2020,37, 28
Mar 30 2020,21, 26
Mar 29 2020,24, 26
Mar 28 2020,27, 23
Mar 27 2020,28, 22
Mar 26 2020,33, 20
Mar 25 2020,28, 16
Mar 24 2020,20, 12
Mar 23 2020,23, 10
Mar 22 2020,3, 7
Mar 21 2020,20, 7
Mar 20 2020,13, 4
Mar 19 2020,4, 2
Mar 18 2020,2, 2
Mar 17 2020,2, 1
Mar 16 2020,4, 1
Mar 15 2020,1, 0
Mar 14 2020,1, 0
Mar 13 2020,0, 0
Mar 12 2020,1, 0
Mar 11 2020,0, 0
Mar 10 2020,0, 0
Mar 9 2020,0, 0
Mar 8 2020,1, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
