Rate per 100000 Trends - Vermont
Date generated: Thu Jul 30 2020 22:06:16 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,225, 
Jul 28 2020,224, 
Jul 27 2020,224, 
Jul 26 2020,224, 
Jul 25 2020,223, 
Jul 24 2020,221, 
Jul 23 2020,220, 
Jul 22 2020,218, 
Jul 21 2020,218, 
Jul 20 2020,217, 
Jul 19 2020,216, 
Jul 18 2020,214, 
Jul 17 2020,213, 
Jul 16 2020,212, 
Jul 15 2020,210, 
Jul 14 2020,208, 
Jul 13 2020,208, 
Jul 12 2020,207, 
Jul 11 2020,205, 
Jul 10 2020,205, 
Jul 9 2020,203, 
Jul 8 2020,201, 
Jul 7 2020,200, 
Jul 6 2020,200, 
Jul 5 2020,200, 
Jul 4 2020,198, 
Jul 3 2020,198, 
Jul 2 2020,196, 
Jul 1 2020,193, 
Jun 30 2020,193, 
Jun 29 2020,193, 
Jun 28 2020,192, 
Jun 27 2020,192, 
Jun 26 2020,191, 
Jun 25 2020,190, 
Jun 24 2020,189, 
Jun 23 2020,186, 
Jun 22 2020,186, 
Jun 21 2020,185, 
Jun 20 2020,183, 
Jun 19 2020,183, 
Jun 18 2020,181, 
Jun 17 2020,180, 
Jun 16 2020,180, 
Jun 15 2020,180, 
Jun 14 2020,180, 
Jun 13 2020,180, 
Jun 12 2020,179, 
Jun 11 2020,177, 
Jun 10 2020,175, 
Jun 9 2020,173, 
Jun 8 2020,172, 
Jun 7 2020,170, 
Jun 6 2020,167, 
Jun 5 2020,164, 
Jun 4 2020,164, 
Jun 3 2020,158, 
Jun 2 2020,158, 
Jun 1 2020,157, 
May 31 2020,157, 
May 30 2020,156, 
May 29 2020,156, 
May 28 2020,156, 
May 27 2020,155, 
May 26 2020,154, 
May 25 2020,154, 
May 24 2020,153, 
May 23 2020,152, 
May 22 2020,152, 
May 21 2020,152, 
May 20 2020,151, 
May 19 2020,151, 
May 18 2020,150, 
May 17 2020,150, 
May 16 2020,149, 
May 15 2020,149, 
May 14 2020,149, 
May 13 2020,148, 
May 12 2020,148, 
May 11 2020,148, 
May 10 2020,148, 
May 9 2020,147, 
May 8 2020,147, 
May 7 2020,146, 
May 6 2020,145, 
May 5 2020,145, 
May 4 2020,144, 
May 3 2020,143, 
May 2 2020,142, 
May 1 2020,140, 
Apr 30 2020,138, 
Apr 29 2020,138, 
Apr 28 2020,138, 
Apr 27 2020,137, 
Apr 26 2020,136, 
Apr 25 2020,135, 
Apr 24 2020,132, 
Apr 23 2020,132, 
Apr 22 2020,131, 
Apr 21 2020,131, 
Apr 20 2020,130, 
Apr 19 2020,130, 
Apr 18 2020,128, 
Apr 17 2020,124, 
Apr 16 2020,123, 
Apr 15 2020,121, 
Apr 14 2020,120, 
Apr 13 2020,119, 
Apr 12 2020,116, 
Apr 11 2020,114, 
Apr 10 2020,108, 
Apr 9 2020,100, 
Apr 8 2020,97, 
Apr 7 2020,92, 
Apr 6 2020,87, 
Apr 5 2020,82, 
Apr 4 2020,74, 
Apr 3 2020,62, 
Apr 2 2020,54, 
Apr 1 2020,51, 
Mar 31 2020,47, 
Mar 30 2020,41, 
Mar 29 2020,38, 
Mar 28 2020,34, 
Mar 27 2020,29, 
Mar 26 2020,25, 
Mar 25 2020,20, 
Mar 24 2020,15, 
Mar 23 2020,12, 
Mar 22 2020,8, 
Mar 21 2020,8, 
Mar 20 2020,5, 
Mar 19 2020,3, 
Mar 18 2020,2, 
Mar 17 2020,2, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,1, 
Mar 13 2020,0, 
Mar 12 2020,0, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
