Total Cases Trends - Vermont
Date generated: Thu Jul 30 2020 22:06:04 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,1406, 
Jul 28 2020,1405, 
Jul 27 2020,1402, 
Jul 26 2020,1400, 
Jul 25 2020,1396, 
Jul 24 2020,1385, 
Jul 23 2020,1377, 
Jul 22 2020,1366, 
Jul 21 2020,1366, 
Jul 20 2020,1360, 
Jul 19 2020,1350, 
Jul 18 2020,1338, 
Jul 17 2020,1334, 
Jul 16 2020,1325, 
Jul 15 2020,1318, 
Jul 14 2020,1305, 
Jul 13 2020,1301, 
Jul 12 2020,1296, 
Jul 11 2020,1283, 
Jul 10 2020,1283, 
Jul 9 2020,1272, 
Jul 8 2020,1256, 
Jul 7 2020,1254, 
Jul 6 2020,1251, 
Jul 5 2020,1251, 
Jul 4 2020,1238, 
Jul 3 2020,1238, 
Jul 2 2020,1227, 
Jul 1 2020,1210, 
Jun 30 2020,1208, 
Jun 29 2020,1208, 
Jun 28 2020,1202, 
Jun 27 2020,1200, 
Jun 26 2020,1198, 
Jun 25 2020,1191, 
Jun 24 2020,1184, 
Jun 23 2020,1164, 
Jun 22 2020,1163, 
Jun 21 2020,1159, 
Jun 20 2020,1147, 
Jun 19 2020,1144, 
Jun 18 2020,1135, 
Jun 17 2020,1129, 
Jun 16 2020,1130, 
Jun 15 2020,1128, 
Jun 14 2020,1127, 
Jun 13 2020,1125, 
Jun 12 2020,1119, 
Jun 11 2020,1109, 
Jun 10 2020,1094, 
Jun 9 2020,1084, 
Jun 8 2020,1075, 
Jun 7 2020,1063, 
Jun 6 2020,1045, 
Jun 5 2020,1027, 
Jun 4 2020,1025, 
Jun 3 2020,990, 
Jun 2 2020,988, 
Jun 1 2020,983, 
May 31 2020,981, 
May 30 2020,977, 
May 29 2020,975, 
May 28 2020,974, 
May 27 2020,971, 
May 26 2020,967, 
May 25 2020,962, 
May 24 2020,956, 
May 23 2020,954, 
May 22 2020,952, 
May 21 2020,950, 
May 20 2020,945, 
May 19 2020,944, 
May 18 2020,940, 
May 17 2020,940, 
May 16 2020,932, 
May 15 2020,933, 
May 14 2020,933, 
May 13 2020,929, 
May 12 2020,927, 
May 11 2020,926, 
May 10 2020,927, 
May 9 2020,921, 
May 8 2020,918, 
May 7 2020,916, 
May 6 2020,908, 
May 5 2020,906, 
May 4 2020,902, 
May 3 2020,897, 
May 2 2020,886, 
May 1 2020,879, 
Apr 30 2020,866, 
Apr 29 2020,862, 
Apr 28 2020,862, 
Apr 27 2020,855, 
Apr 26 2020,851, 
Apr 25 2020,843, 
Apr 24 2020,827, 
Apr 23 2020,825, 
Apr 22 2020,823, 
Apr 21 2020,818, 
Apr 20 2020,816, 
Apr 19 2020,812, 
Apr 18 2020,803, 
Apr 17 2020,779, 
Apr 16 2020,768, 
Apr 15 2020,759, 
Apr 14 2020,750, 
Apr 13 2020,748, 
Apr 12 2020,727, 
Apr 11 2020,711, 
Apr 10 2020,679, 
Apr 9 2020,628, 
Apr 8 2020,605, 
Apr 7 2020,575, 
Apr 6 2020,543, 
Apr 5 2020,512, 
Apr 4 2020,461, 
Apr 3 2020,389, 
Apr 2 2020,338, 
Apr 1 2020,321, 
Mar 31 2020,293, 
Mar 30 2020,256, 
Mar 29 2020,235, 
Mar 28 2020,211, 
Mar 27 2020,184, 
Mar 26 2020,156, 
Mar 25 2020,123, 
Mar 24 2020,95, 
Mar 23 2020,75, 
Mar 22 2020,52, 
Mar 21 2020,49, 
Mar 20 2020,29, 
Mar 19 2020,16, 
Mar 18 2020,12, 
Mar 17 2020,10, 
Mar 16 2020,8, 
Mar 15 2020,4, 
Mar 14 2020,3, 
Mar 13 2020,2, 
Mar 12 2020,2, 
Mar 11 2020,1, 
Mar 10 2020,1, 
Mar 9 2020,1, 
Mar 8 2020,1, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
