Date,New Cases,7-Day Moving Avg,Total Cases,Rate per 100000
Jul 29 2020,39,49,2628,455
Jul 28 2020,69,50,2589,448
Jul 27 2020,45,48,2520,436
Jul 26 2020,29,50,2475,428
Jul 25 2020,41,48,2446,423
Jul 24 2020,58,48,2405,416
Jul 23 2020,59,46,2347,406
Jul 22 2020,50,43,2288,396
Jul 21 2020,51,41,2238,387
Jul 20 2020,61,41,2187,379
Jul 19 2020,18,38,2126,368
Jul 18 2020,39,38,2108,365
Jul 17 2020,43,40,2069,358
Jul 16 2020,41,36,2026,351
Jul 15 2020,34,35,1985,344
Jul 14 2020,48,34,1951,338
Jul 13 2020,41,33,1903,329
Jul 12 2020,23,33,1862,322
Jul 11 2020,49,33,1839,318
Jul 10 2020,16,30,1790,310
Jul 9 2020,34,32,1774,307
Jul 8 2020,29,32,1740,301
Jul 7 2020,36,32,1711,296
Jul 6 2020,41,32,1675,290
Jul 5 2020,28,31,1634,283
Jul 4 2020,24,31,1606,278
Jul 3 2020,32,31,1582,274
Jul 2 2020,36,32,1550,268
Jul 1 2020,27,33,1514,262
Jun 30 2020,37,33,1487,257
Jun 29 2020,33,31,1450,251
Jun 28 2020,25,31,1417,245
Jun 27 2020,24,30,1392,241
Jun 26 2020,42,28,1368,237
Jun 25 2020,44,26,1326,230
Jun 24 2020,28,24,1282,222
Jun 23 2020,24,24,1254,217
Jun 22 2020,33,22,1230,213
Jun 21 2020,18,20,1197,207
Jun 20 2020,6,18,1179,204
Jun 19 2020,29,21,1173,203
Jun 18 2020,30,19,1144,198
Jun 17 2020,25,19,1114,193
Jun 16 2020,10,17,1089,189
Jun 15 2020,19,17,1079,187
Jun 14 2020,10,16,1060,184
Jun 13 2020,23,16,1050,182
Jun 12 2020,18,13,1027,178
Jun 11 2020,29,13,1009,175
Jun 10 2020,10,9,980,170
Jun 9 2020,10,8,970,168
Jun 8 2020,13,7,960,166
Jun 7 2020,8,6,947,164
Jun 6 2020,6,6,939,163
Jun 5 2020,12,6,933,162
Jun 4 2020,6,6,921,159
Jun 3 2020,3,8,915,158
Jun 2 2020,2,9,912,158
Jun 1 2020,7,10,910,158
May 31 2020,5,9,903,156
May 30 2020,7,12,898,155
May 29 2020,15,13,891,154
May 28 2020,16,11,876,152
May 27 2020,10,10,860,149
May 26 2020,7,11,850,147
May 25 2020,5,11,843,146
May 24 2020,25,12,838,145
May 23 2020,10,10,813,141
May 22 2020,2,12,803,139
May 21 2020,14,14,801,139
May 20 2020,11,14,787,136
May 19 2020,10,14,776,134
May 18 2020,12,14,766,133
May 17 2020,13,13,754,131
May 16 2020,25,13,741,128
May 15 2020,15,10,716,124
May 14 2020,13,9,701,121
May 13 2020,13,8,688,119
May 12 2020,6,10,675,117
May 11 2020,7,10,669,116
May 10 2020,9,11,662,115
May 9 2020,9,11,653,113
May 8 2020,9,11,644,112
May 7 2020,4,11,635,110
May 6 2020,27,12,631,109
May 5 2020,8,10,604,105
May 4 2020,10,11,596,103
May 3 2020,7,12,586,101
May 2 2020,13,13,579,100
May 1 2020,7,13,566,98
Apr 30 2020,15,15,559,97
Apr 29 2020,8,14,544,94
Apr 28 2020,16,14,536,93
Apr 27 2020,18,13,520,90
Apr 26 2020,11,11,502,87
Apr 25 2020,18,10,491,85
Apr 24 2020,20,9,473,82
Apr 23 2020,6,7,453,78
Apr 22 2020,6,8,447,77
Apr 21 2020,13,7,441,76
Apr 20 2020,2,22,428,74
Apr 19 2020,3,37,426,74
Apr 18 2020,11,38,423,73
Apr 17 2020,11,37,412,71
Apr 16 2020,8,38,401,69
Apr 15 2020,0,38,393,68
Apr 14 2020,121,39,494,86
Apr 13 2020,103,23,373,65
Apr 12 2020,9,10,270,47
Apr 11 2020,8,11,261,45
Apr 10 2020,14,12,253,44
Apr 9 2020,9,13,239,41
Apr 8 2020,9,13,230,40
Apr 7 2020,9,14,221,38
Apr 6 2020,12,17,212,37
Apr 5 2020,13,16,200,35
Apr 4 2020,21,15,187,32
Apr 3 2020,16,13,166,29
Apr 2 2020,13,14,150,26
Apr 1 2020,17,13,137,24
Mar 31 2020,25,13,120,21
Mar 30 2020,8,10,95,16
Mar 29 2020,3,9,87,15
Mar 28 2020,11,9,84,15
Mar 27 2020,18,7,73,13
Mar 26 2020,11,5,55,10
Mar 25 2020,14,4,44,8
Mar 24 2020,4,3,30,5
Mar 23 2020,2,3,26,5
Mar 22 2020,0,3,24,4
Mar 21 2020,2,3,24,4
Mar 20 2020,4,3,22,4
Mar 19 2020,2,2,18,3
Mar 18 2020,5,2,16,3
Mar 17 2020,8,2,11,2
Mar 16 2020,0,0,3,1
Mar 15 2020,1,0,3,1
Mar 14 2020,1,0,2,0
Mar 13 2020,0,0,1,0
Mar 12 2020,1,0,1,0
Mar 11 2020,0,0,0,0
Mar 10 2020,0,0,0,0
Mar 9 2020,0,0,0,0
Mar 8 2020,0,0,0,0
Mar 7 2020,0,0,0,0
Mar 6 2020,0,0,0,0
Mar 5 2020,0,0,0,0
Mar 4 2020,0,0,0,0
Mar 3 2020,0,0,0,0
Mar 2 2020,0,0,0,0
Mar 1 2020,0,0,0,0
Feb 29 2020,0,0,0,0
Feb 28 2020,0,0,0,0
Feb 27 2020,0,0,0,0
Feb 26 2020,0,0,0,0
Feb 25 2020,0,0,0,0
Feb 24 2020,0,0,0,0
Feb 23 2020,0,0,0,0
Feb 22 2020,0,0,0,0
Feb 21 2020,0,0,0,0
Feb 20 2020,0,0,0,0
Feb 19 2020,0,0,0,0
Feb 18 2020,0,0,0,0
Feb 17 2020,0,0,0,0
Feb 16 2020,0,0,0,0
Feb 15 2020,0,0,0,0
Feb 14 2020,0,0,0,0
Feb 13 2020,0,0,0,0
Feb 12 2020,0,0,0,0
Feb 11 2020,0,0,0,0
Feb 10 2020,0,0,0,0
Feb 9 2020,0,0,0,0
