New Case Trends - Wyoming
Date generated: Thu Jul 30 2020 22:06:39 GMT-0700 (PDT)

Date,New Cases,7-Day Moving Avg
Jul 29 2020,39, 49
Jul 28 2020,69, 50
Jul 27 2020,45, 48
Jul 26 2020,29, 50
Jul 25 2020,41, 48
Jul 24 2020,58, 48
Jul 23 2020,59, 46
Jul 22 2020,50, 43
Jul 21 2020,51, 41
Jul 20 2020,61, 41
Jul 19 2020,18, 38
Jul 18 2020,39, 38
Jul 17 2020,43, 40
Jul 16 2020,41, 36
Jul 15 2020,34, 35
Jul 14 2020,48, 34
Jul 13 2020,41, 33
Jul 12 2020,23, 33
Jul 11 2020,49, 33
Jul 10 2020,16, 30
Jul 9 2020,34, 32
Jul 8 2020,29, 32
Jul 7 2020,36, 32
Jul 6 2020,41, 32
Jul 5 2020,28, 31
Jul 4 2020,24, 31
Jul 3 2020,32, 31
Jul 2 2020,36, 32
Jul 1 2020,27, 33
Jun 30 2020,37, 33
Jun 29 2020,33, 31
Jun 28 2020,25, 31
Jun 27 2020,24, 30
Jun 26 2020,42, 28
Jun 25 2020,44, 26
Jun 24 2020,28, 24
Jun 23 2020,24, 24
Jun 22 2020,33, 22
Jun 21 2020,18, 20
Jun 20 2020,6, 18
Jun 19 2020,29, 21
Jun 18 2020,30, 19
Jun 17 2020,25, 19
Jun 16 2020,10, 17
Jun 15 2020,19, 17
Jun 14 2020,10, 16
Jun 13 2020,23, 16
Jun 12 2020,18, 13
Jun 11 2020,29, 13
Jun 10 2020,10, 9
Jun 9 2020,10, 8
Jun 8 2020,13, 7
Jun 7 2020,8, 6
Jun 6 2020,6, 6
Jun 5 2020,12, 6
Jun 4 2020,6, 6
Jun 3 2020,3, 8
Jun 2 2020,2, 9
Jun 1 2020,7, 10
May 31 2020,5, 9
May 30 2020,7, 12
May 29 2020,15, 13
May 28 2020,16, 11
May 27 2020,10, 10
May 26 2020,7, 11
May 25 2020,5, 11
May 24 2020,25, 12
May 23 2020,10, 10
May 22 2020,2, 12
May 21 2020,14, 14
May 20 2020,11, 14
May 19 2020,10, 14
May 18 2020,12, 14
May 17 2020,13, 13
May 16 2020,25, 13
May 15 2020,15, 10
May 14 2020,13, 9
May 13 2020,13, 8
May 12 2020,6, 10
May 11 2020,7, 10
May 10 2020,9, 11
May 9 2020,9, 11
May 8 2020,9, 11
May 7 2020,4, 11
May 6 2020,27, 12
May 5 2020,8, 10
May 4 2020,10, 11
May 3 2020,7, 12
May 2 2020,13, 13
May 1 2020,7, 13
Apr 30 2020,15, 15
Apr 29 2020,8, 14
Apr 28 2020,16, 14
Apr 27 2020,18, 13
Apr 26 2020,11, 11
Apr 25 2020,18, 10
Apr 24 2020,20, 9
Apr 23 2020,6, 7
Apr 22 2020,6, 8
Apr 21 2020,13, 7
Apr 20 2020,2, 22
Apr 19 2020,3, 37
Apr 18 2020,11, 38
Apr 17 2020,11, 37
Apr 16 2020,8, 38
Apr 15 2020,0, 38
Apr 14 2020,121, 39
Apr 13 2020,103, 23
Apr 12 2020,9, 10
Apr 11 2020,8, 11
Apr 10 2020,14, 12
Apr 9 2020,9, 13
Apr 8 2020,9, 13
Apr 7 2020,9, 14
Apr 6 2020,12, 17
Apr 5 2020,13, 16
Apr 4 2020,21, 15
Apr 3 2020,16, 13
Apr 2 2020,13, 14
Apr 1 2020,17, 13
Mar 31 2020,25, 13
Mar 30 2020,8, 10
Mar 29 2020,3, 9
Mar 28 2020,11, 9
Mar 27 2020,18, 7
Mar 26 2020,11, 5
Mar 25 2020,14, 4
Mar 24 2020,4, 3
Mar 23 2020,2, 3
Mar 22 2020,0, 3
Mar 21 2020,2, 3
Mar 20 2020,4, 3
Mar 19 2020,2, 2
Mar 18 2020,5, 2
Mar 17 2020,8, 2
Mar 16 2020,0, 0
Mar 15 2020,1, 0
Mar 14 2020,1, 0
Mar 13 2020,0, 0
Mar 12 2020,1, 0
Mar 11 2020,0, 0
Mar 10 2020,0, 0
Mar 9 2020,0, 0
Mar 8 2020,0, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,0, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
