Rate per 100000 Trends - Wyoming
Date generated: Thu Jul 30 2020 22:07:00 GMT-0700 (PDT)

Date,Rate per 100000,
Jul 29 2020,455, 
Jul 28 2020,448, 
Jul 27 2020,436, 
Jul 26 2020,428, 
Jul 25 2020,423, 
Jul 24 2020,416, 
Jul 23 2020,406, 
Jul 22 2020,396, 
Jul 21 2020,387, 
Jul 20 2020,379, 
Jul 19 2020,368, 
Jul 18 2020,365, 
Jul 17 2020,358, 
Jul 16 2020,351, 
Jul 15 2020,344, 
Jul 14 2020,338, 
Jul 13 2020,329, 
Jul 12 2020,322, 
Jul 11 2020,318, 
Jul 10 2020,310, 
Jul 9 2020,307, 
Jul 8 2020,301, 
Jul 7 2020,296, 
Jul 6 2020,290, 
Jul 5 2020,283, 
Jul 4 2020,278, 
Jul 3 2020,274, 
Jul 2 2020,268, 
Jul 1 2020,262, 
Jun 30 2020,257, 
Jun 29 2020,251, 
Jun 28 2020,245, 
Jun 27 2020,241, 
Jun 26 2020,237, 
Jun 25 2020,230, 
Jun 24 2020,222, 
Jun 23 2020,217, 
Jun 22 2020,213, 
Jun 21 2020,207, 
Jun 20 2020,204, 
Jun 19 2020,203, 
Jun 18 2020,198, 
Jun 17 2020,193, 
Jun 16 2020,189, 
Jun 15 2020,187, 
Jun 14 2020,184, 
Jun 13 2020,182, 
Jun 12 2020,178, 
Jun 11 2020,175, 
Jun 10 2020,170, 
Jun 9 2020,168, 
Jun 8 2020,166, 
Jun 7 2020,164, 
Jun 6 2020,163, 
Jun 5 2020,162, 
Jun 4 2020,159, 
Jun 3 2020,158, 
Jun 2 2020,158, 
Jun 1 2020,158, 
May 31 2020,156, 
May 30 2020,155, 
May 29 2020,154, 
May 28 2020,152, 
May 27 2020,149, 
May 26 2020,147, 
May 25 2020,146, 
May 24 2020,145, 
May 23 2020,141, 
May 22 2020,139, 
May 21 2020,139, 
May 20 2020,136, 
May 19 2020,134, 
May 18 2020,133, 
May 17 2020,131, 
May 16 2020,128, 
May 15 2020,124, 
May 14 2020,121, 
May 13 2020,119, 
May 12 2020,117, 
May 11 2020,116, 
May 10 2020,115, 
May 9 2020,113, 
May 8 2020,112, 
May 7 2020,110, 
May 6 2020,109, 
May 5 2020,105, 
May 4 2020,103, 
May 3 2020,101, 
May 2 2020,100, 
May 1 2020,98, 
Apr 30 2020,97, 
Apr 29 2020,94, 
Apr 28 2020,93, 
Apr 27 2020,90, 
Apr 26 2020,87, 
Apr 25 2020,85, 
Apr 24 2020,82, 
Apr 23 2020,78, 
Apr 22 2020,77, 
Apr 21 2020,76, 
Apr 20 2020,74, 
Apr 19 2020,74, 
Apr 18 2020,73, 
Apr 17 2020,71, 
Apr 16 2020,69, 
Apr 15 2020,68, 
Apr 14 2020,86, 
Apr 13 2020,65, 
Apr 12 2020,47, 
Apr 11 2020,45, 
Apr 10 2020,44, 
Apr 9 2020,41, 
Apr 8 2020,40, 
Apr 7 2020,38, 
Apr 6 2020,37, 
Apr 5 2020,35, 
Apr 4 2020,32, 
Apr 3 2020,29, 
Apr 2 2020,26, 
Apr 1 2020,24, 
Mar 31 2020,21, 
Mar 30 2020,16, 
Mar 29 2020,15, 
Mar 28 2020,15, 
Mar 27 2020,13, 
Mar 26 2020,10, 
Mar 25 2020,8, 
Mar 24 2020,5, 
Mar 23 2020,5, 
Mar 22 2020,4, 
Mar 21 2020,4, 
Mar 20 2020,4, 
Mar 19 2020,3, 
Mar 18 2020,3, 
Mar 17 2020,2, 
Mar 16 2020,1, 
Mar 15 2020,1, 
Mar 14 2020,0, 
Mar 13 2020,0, 
Mar 12 2020,0, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
