Total Cases Trends - Wyoming
Date generated: Thu Jul 30 2020 22:06:51 GMT-0700 (PDT)

Date,Total Cases,
Jul 29 2020,2628, 
Jul 28 2020,2589, 
Jul 27 2020,2520, 
Jul 26 2020,2475, 
Jul 25 2020,2446, 
Jul 24 2020,2405, 
Jul 23 2020,2347, 
Jul 22 2020,2288, 
Jul 21 2020,2238, 
Jul 20 2020,2187, 
Jul 19 2020,2126, 
Jul 18 2020,2108, 
Jul 17 2020,2069, 
Jul 16 2020,2026, 
Jul 15 2020,1985, 
Jul 14 2020,1951, 
Jul 13 2020,1903, 
Jul 12 2020,1862, 
Jul 11 2020,1839, 
Jul 10 2020,1790, 
Jul 9 2020,1774, 
Jul 8 2020,1740, 
Jul 7 2020,1711, 
Jul 6 2020,1675, 
Jul 5 2020,1634, 
Jul 4 2020,1606, 
Jul 3 2020,1582, 
Jul 2 2020,1550, 
Jul 1 2020,1514, 
Jun 30 2020,1487, 
Jun 29 2020,1450, 
Jun 28 2020,1417, 
Jun 27 2020,1392, 
Jun 26 2020,1368, 
Jun 25 2020,1326, 
Jun 24 2020,1282, 
Jun 23 2020,1254, 
Jun 22 2020,1230, 
Jun 21 2020,1197, 
Jun 20 2020,1179, 
Jun 19 2020,1173, 
Jun 18 2020,1144, 
Jun 17 2020,1114, 
Jun 16 2020,1089, 
Jun 15 2020,1079, 
Jun 14 2020,1060, 
Jun 13 2020,1050, 
Jun 12 2020,1027, 
Jun 11 2020,1009, 
Jun 10 2020,980, 
Jun 9 2020,970, 
Jun 8 2020,960, 
Jun 7 2020,947, 
Jun 6 2020,939, 
Jun 5 2020,933, 
Jun 4 2020,921, 
Jun 3 2020,915, 
Jun 2 2020,912, 
Jun 1 2020,910, 
May 31 2020,903, 
May 30 2020,898, 
May 29 2020,891, 
May 28 2020,876, 
May 27 2020,860, 
May 26 2020,850, 
May 25 2020,843, 
May 24 2020,838, 
May 23 2020,813, 
May 22 2020,803, 
May 21 2020,801, 
May 20 2020,787, 
May 19 2020,776, 
May 18 2020,766, 
May 17 2020,754, 
May 16 2020,741, 
May 15 2020,716, 
May 14 2020,701, 
May 13 2020,688, 
May 12 2020,675, 
May 11 2020,669, 
May 10 2020,662, 
May 9 2020,653, 
May 8 2020,644, 
May 7 2020,635, 
May 6 2020,631, 
May 5 2020,604, 
May 4 2020,596, 
May 3 2020,586, 
May 2 2020,579, 
May 1 2020,566, 
Apr 30 2020,559, 
Apr 29 2020,544, 
Apr 28 2020,536, 
Apr 27 2020,520, 
Apr 26 2020,502, 
Apr 25 2020,491, 
Apr 24 2020,473, 
Apr 23 2020,453, 
Apr 22 2020,447, 
Apr 21 2020,441, 
Apr 20 2020,428, 
Apr 19 2020,426, 
Apr 18 2020,423, 
Apr 17 2020,412, 
Apr 16 2020,401, 
Apr 15 2020,393, 
Apr 14 2020,494, 
Apr 13 2020,373, 
Apr 12 2020,270, 
Apr 11 2020,261, 
Apr 10 2020,253, 
Apr 9 2020,239, 
Apr 8 2020,230, 
Apr 7 2020,221, 
Apr 6 2020,212, 
Apr 5 2020,200, 
Apr 4 2020,187, 
Apr 3 2020,166, 
Apr 2 2020,150, 
Apr 1 2020,137, 
Mar 31 2020,120, 
Mar 30 2020,95, 
Mar 29 2020,87, 
Mar 28 2020,84, 
Mar 27 2020,73, 
Mar 26 2020,55, 
Mar 25 2020,44, 
Mar 24 2020,30, 
Mar 23 2020,26, 
Mar 22 2020,24, 
Mar 21 2020,24, 
Mar 20 2020,22, 
Mar 19 2020,18, 
Mar 18 2020,16, 
Mar 17 2020,11, 
Mar 16 2020,3, 
Mar 15 2020,3, 
Mar 14 2020,2, 
Mar 13 2020,1, 
Mar 12 2020,1, 
Mar 11 2020,0, 
Mar 10 2020,0, 
Mar 9 2020,0, 
Mar 8 2020,0, 
Mar 7 2020,0, 
Mar 6 2020,0, 
Mar 5 2020,0, 
Mar 4 2020,0, 
Mar 3 2020,0, 
Mar 2 2020,0, 
Mar 1 2020,0, 
Feb 29 2020,0, 
Feb 28 2020,0, 
Feb 27 2020,0, 
Feb 26 2020,0, 
Feb 25 2020,0, 
Feb 24 2020,0, 
Feb 23 2020,0, 
Feb 22 2020,0, 
Feb 21 2020,0, 
Feb 20 2020,0, 
Feb 19 2020,0, 
Feb 18 2020,0, 
Feb 17 2020,0, 
Feb 16 2020,0, 
Feb 15 2020,0, 
Feb 14 2020,0, 
Feb 13 2020,0, 
Feb 12 2020,0, 
Feb 11 2020,0, 
Feb 10 2020,0, 
Feb 9 2020,0, 
Feb 8 2020,0, 
Feb 7 2020,0, 
Feb 6 2020,0, 
Feb 5 2020,0, 
Feb 4 2020,0, 
Feb 3 2020,0, 
Feb 2 2020,0, 
Feb 1 2020,0, 
Jan 31 2020,0, 
Jan 30 2020,0, 
Jan 29 2020,0, 
Jan 28 2020,0, 
Jan 27 2020,0, 
Jan 26 2020,0, 
Jan 25 2020,0, 
Jan 24 2020,0, 
Jan 23 2020,0, 
Jan 22 2020,0, 
